variable,normal_range_min,normal_range_max,recommended_low_threshold,recommended_high_threshold,iqr_low_threshold,iqr_high_threshold,operating_mean,operating_std
Spd_ActPos_C,0.0,357.5034,-152.4493,489.8917,-205.8715,540.0765,168.7212,107.0568
Spd_ActSpeed_C,-355838.1589,43211.426,-445678.4703,177557.9846,-443388.4285,208074.4635,-134060.2429,103872.7425
Spd_ActPos_X,-0.149,740.0,-274.3737,503.9563,-71.9255,280.7025,114.7913,129.7217
Spd_ActSpeed_X,-32399.999,30000.0,-18710.0924,18664.4385,-135.0174,104.9496,-22.827,6229.0885
Spd_ActPos_Z,0.0,495.0,46.9592,629.6275,159.7242,522.0963,338.2934,97.1114
Spd_ActSpeed_Z,-26697.3846,32196.6224,-17678.7028,17811.9618,-388.58,233.148,66.6295,5915.1108
Prog_CuttingTime,0.0,8103981.538,3089592.0403,12321607.1961,7834294.8328,8230327.5027,7705599.6182,1538669.1926
Prog_CycleTime,0.0,85485.79,-34220.6489,56722.271,-15439.8018,32192.4443,11250.8111,15157.1533
M_PowerOnDuration,0.0,69172.39,-54775.3344,85767.8611,-40946.625,68244.375,15496.2633,23423.8659
Prog_LineNo,-2.0,1104.0,-720.4112,1415.1451,-561.0,1135.0,347.3669,355.926
Hyd_Pressure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
