fault_group,variable,fault_true_frac,normal_true_frac,delta_true_frac,abs_delta,fault_transitions,fault_samples,is_alarm
coolant,CBC_Closed,0.6404,0.2467,0.3937,0.3937,64,89,False
coolant,CBC_close,0.6404,0.2471,0.3933,0.3933,64,89,False
coolant,CBC_isOpen,0.3596,0.1786,0.181,0.181,64,89,False
coolant,CBC_open,0.3596,0.1774,0.1822,0.1822,64,89,False
coolant,CLF_Filter_Ok,0.6667,0.1208,0.5459,0.5459,24,36,False
coolant,CLT_Level_lt_Min,0.3333,0.0,0.3333,0.3333,14,21,False
coolant,ExU_On,0.4898,0.1108,0.379,0.379,73,98,False
coolant,ExU_isOff,0.5102,0.0212,0.489,0.489,73,98,False
coolant,F_Filter_Ok,0.6667,0.1208,0.5459,0.5459,12,18,False
coolant,HP_Pump_Ok,0.6667,0.1215,0.5452,0.5452,26,39,False
coolant,HP_Pump_isOff,0.6667,0.1474,0.5193,0.5193,50,75,False
coolant,LP_Pump_Ok,0.6667,0.1208,0.5459,0.5459,24,36,False
coolant,LP_Pump_On,0.4352,0.3218,0.1134,0.1134,168,193,False
coolant,LT_Level_Ok,0.6667,0.1214,0.5453,0.5453,12,18,False
coolant,LT_Pump_Ok,0.6667,0.1872,0.4795,0.4795,24,36,False
coolant,Lubr_On,0.3333,0.0028,0.3305,0.3305,2,3,False
coolant,Lubr_P_Ok,0.3333,0.0028,0.3305,0.3305,2,3,False
coolant,M_ErrorActive,0.3333,0.0028,0.3305,0.3305,50,75,False
coolant,M_WarnWithStacklight,0.3333,0.0035,0.3298,0.3298,50,75,False
coolant,SL_Green,0.5023,0.3323,0.17,0.17,853,878,False
coolant,SL_Red,0.488,0.3225,0.1655,0.1655,1014,1039,False
coolant,MPA_InitPos,0.6,0.2316,0.3684,0.3684,100,125,False
coolant,MPA_WorkPos,0.4,0.1756,0.2244,0.2244,100,125,False
coolant,MPA_toInitPos,0.6,0.2327,0.3673,0.3673,100,125,False
coolant,MPA_toWorkPos,0.4,0.1756,0.2244,0.2244,100,125,False
coolant,MPC_Closed,0.6,0.2308,0.3692,0.3692,100,125,False
coolant,MPC_close,0.6,0.2308,0.3692,0.3692,100,125,False
coolant,MPC_isOpen,0.4,0.1757,0.2243,0.2243,100,125,False
coolant,MPC_open,0.4,0.175,0.225,0.225,100,125,False
coolant,MP_Inactive,0.6,0.2362,0.3638,0.3638,100,125,False
coolant,SRL_Locked,0.6667,0.117,0.5497,0.5497,14,21,False
coolant,SRL_Unlocked,0.3333,0.1417,0.1916,0.1916,14,21,False
coolant,Spd_InnerCoolOn,0.4183,0.1923,0.226,0.226,128,153,False
coolant,Spd_OuterCoolOn,0.3626,0.2257,0.1369,0.1369,66,91,False
coolant,TL_Locked,0.5667,0.3692,0.1975,0.1975,156,180,False
coolant,TL_lock,0.5714,0.3772,0.1942,0.1942,150,175,False
coolant,TL_unlock,0.4309,0.3385,0.0924,0.0924,156,181,False
coolant,WCL_InitPos,0.6404,0.2711,0.3693,0.3693,64,89,False
coolant,WCL_Locked,0.3596,0.2035,0.1561,0.1561,64,89,False
coolant,WCL_Unlocked,0.6404,0.2719,0.3685,0.3685,64,89,False
coolant,WCL_WorkPos,0.3596,0.2036,0.156,0.156,64,89,False
coolant,WCL_toInitPos,0.6404,0.2711,0.3693,0.3693,64,89,False
coolant,WCL_toWorkPos,0.3596,0.2036,0.156,0.156,64,89,False
coolant,M_Lifebit,0.4977,0.4671,0.0306,0.0306,1521,1543,False
coolant,CLF_A_700307,0.3333,0.0,0.3333,0.3333,24,36,True
coolant,F_A_700313,0.3333,0.0,0.3333,0.3333,12,18,True
coolant,HP_A_700304,0.3333,0.0008,0.3325,0.3325,26,39,True
coolant,LT_A_700317,0.3333,0.0008,0.3325,0.3325,12,18,True
coolant,CLT_A_700310,0.3333,0.0,0.3333,0.3333,14,21,True
coolant,LP_A_700301,0.3333,0.0,0.3333,0.3333,24,36,True
coolant,SR_A_67040,0.4016,0.0177,0.3839,0.3839,102,127,True
coolant,T_A_701309,0.4333,0.3551,0.0782,0.0782,155,180,True
