variable,normal_true_frac,total_samples,total_transitions
CBC_Closed,0.2467,2136.0,738.0
CBC_close,0.2471,2137.0,739.0
CBC_isOpen,0.1786,2139.0,738.0
CBC_open,0.1774,2137.0,736.0
CLF_Filter_Ok,0.1208,1407.0,0.0
CLT_Level_lt_Min,0.0,1407.0,0.0
ExU_On,0.1108,1417.0,16.0
ExU_isOff,0.0212,1417.0,15.0
F_Filter_Ok,0.1208,1407.0,0.0
HP_Pump_Ok,0.1215,1407.0,1.0
HP_Pump_isOff,0.1474,1812.0,410.0
Hyd_Filter_Ok,0.1208,1407.0,0.0
Hyd_IsEnabled,0.1221,1409.0,3.0
Hyd_Level_Ok,0.1208,1407.0,0.0
Hyd_Pump_Ok,0.1208,1407.0,0.0
Hyd_Pump_On,0.1208,1407.0,0.0
Hyd_Pump_isOff,0.0,1407.0,0.0
Hyd_Temp_lt_70,0.1215,1407.0,1.0
Hyd_Temp_lt_80,0.1215,1407.0,1.0
Hyd_Valve_P_Up,0.4215,8819.0,7412.0
LP_Pump_Ok,0.1208,1407.0,0.0
LP_Pump_On,0.3218,3863.0,2476.0
LT_Level_Ok,0.1214,1408.0,2.0
LT_Pump_Ok,0.1872,1747.0,338.0
Lubr_On,0.0028,1415.0,8.0
Lubr_P_Ok,0.0028,1415.0,8.0
M_ErrorActive,0.0028,1409.0,4.0
M_WarnActive,0.1533,1794.0,387.0
M_WarnWithStacklight,0.0035,1409.0,6.0
SL_Green,0.3323,3199.0,1815.0
SL_Red,0.3225,3808.0,2438.0
SL_Yellow,0.435,10202.0,8795.0
MPA_InitPos,0.2316,2060.0,668.0
MPA_WorkPos,0.1756,2061.0,668.0
MPA_toInitPos,0.2327,2067.0,675.0
MPA_toWorkPos,0.1756,2061.0,668.0
MPC_Closed,0.2308,2058.0,664.0
MPC_close,0.2308,2058.0,664.0
MPC_isOpen,0.1757,2060.0,667.0
MPC_open,0.175,2057.0,664.0
MP_Inactive,0.2362,2070.0,678.0
SRL_Locked,0.117,1666.0,262.0
SRL_Unlocked,0.1417,1666.0,259.0
Spd_InnerCoolOn,0.1923,2246.0,852.0
Spd_OuterCoolOn,0.2257,2508.0,1108.0
TL_Locked,0.3692,3995.0,2609.0
TL_lock,0.3772,4274.0,2884.0
TL_unlock,0.3385,4290.0,2903.0
WC_inPos,0.6471,578.0,408.0
WCL_InitPos,0.2711,2339.0,941.0
WCL_Locked,0.2035,2339.0,938.0
WCL_Unlocked,0.2719,2339.0,941.0
WCL_WorkPos,0.2036,2338.0,937.0
WCL_toInitPos,0.2711,2339.0,941.0
WCL_toWorkPos,0.2036,2338.0,937.0
SR_loosen,0.6362,470.0,299.0
SR_tighten,0.1004,1714.0,306.0
M_Lifebit,0.4671,16216.0,14978.0
CLF_A_700307,0.0,1237.0,0.0
F_A_700313,0.0,1237.0,0.0
HP_A_700304,0.0008,1237.0,2.0
LT_A_700317,0.0008,1237.0,2.0
CLT_A_700310,0.0,1237.0,0.0
LP_A_700301,0.0,1237.0,0.0
Hyd_A_700202,0.0,1237.0,0.0
Hyd_A_700203,0.0,1237.0,0.0
Hyd_A_700204,0.0,1237.0,0.0
Hyd_A_700205,0.0,1237.0,0.0
Hyd_A_700206,0.0,1237.0,0.0
Hyd_A_700207,0.0,1237.0,0.0
Hyd_A_700208,0.0,1237.0,0.0
MPA_A_701124,0.0008,1237.0,2.0
MPA_A_701125,0.0,1237.0,0.0
SR_A_67040,0.0177,1298.0,45.0
T_A_701309,0.3551,4477.0,3043.0
Prog_A_701330,0.0032,1242.0,7.0
