variable,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99,thr_low_3sigma,thr_high_3sigma,thr_low_iqr,thr_high_iqr
Spd_ActPos_C,32765.0,168.72116332824658,107.05682978057855,0.0,359.996,0.0,4.750400000000001,73.859,167.285,260.346,340.89119999999997,357.50336,-152.4493260134891,489.89165266998225,-205.87150000000003,540.0765
Spd_ActSpeed_C,29656.0,-134060.24285879757,103872.74249298131,-839069.824,90000.0,-355838.1589,-306364.746,-199089.844,-148572.51,-36224.121,33932.875,43211.426,-445678.47033774154,177557.98462014637,-443388.42850000004,208074.4635
Spd_ActPos_X,27600.0,114.79127838152174,129.72166953409723,-2.685,749.25,-0.149,0.18395000000000003,60.31,84.76,148.467,321.37959999999987,740.0,-274.3737302207699,503.9562869838134,-71.9255,280.7025
Spd_ActSpeed_X,24580.0,-22.82695921816927,6229.088476080727,-36000.0,36000.0,-32399.999,-1000.0,-45.02975,0.0,14.962,3380.112549999991,30000.0,-18710.092387460347,18664.43846902401,-135.017375,104.949625
Spd_ActPos_Z,25666.0,338.29335378866983,97.11137469320344,0.0,495.001,0.0,231.031,295.61375,351.8175,386.20675,495.0,495.0,46.959229709059514,629.6274778682802,159.72424999999996,522.09625
Spd_ActSpeed_Z,23089.0,66.62950388164457,5915.11077934925,-36000.0,36000.0,-26697.38464,-2244.3059999999996,-155.432,-79.387,0.0,3780.0,32196.622359999987,-17678.702834166106,17811.9618419294,-388.5799999999999,233.14799999999997
Prog_CuttingTime,32152.0,7705599.618208264,1538669.1926387213,0.0,8104279.452,0.0,7830765.876999999,7982807.084000001,8014947.379,8081815.2515,8102045.014,8103981.538000001,3089592.0402921,12321607.196124427,7834294.832750002,8230327.50275
Prog_CycleTime,70810.0,11250.81105344125,15157.153326374619,0.0,273155.812172968,0.0,491.7263,2422.2905,7055.843,14330.352,39873.568,85485.79000000001,-34220.64892568261,56722.271032565106,-15439.801750000002,32192.44425
M_PowerOnDuration,2662.0,15496.263335837715,23423.865925097318,0.0,70622.0,0.0,0.0,0.0,322.5,27297.75,63852.95,69172.39,-54775.334439454244,85767.86111112968,-40946.625,68244.375
Prog_LineNo,30124.0,347.3669167441243,355.9260477443699,-2.0,1150.0,-2.0,-2.0,75.0,191.0,499.0,1079.0,1104.0,-720.4112264889853,1415.1450599772338,-561.0,1135.0
Hyd_Pressure,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
