feature,global_importance,coolant_importance,hydraulics_importance,probe_importance
Hyd_Pressure,0.006193,0.000000,0.000000,0.000000
M_PowerOnDuration,0.165925,0.000000,0.000000,0.000000
Prog_CuttingTime,2.416259,0.000000,0.000000,0.000000
Prog_CycleTime,0.032358,0.000000,0.000000,0.000000
Prog_LineNo,0.127002,0.000000,0.000000,0.000000
Spd_ActPos_C,0.038814,0.000000,0.000000,0.000000
Spd_ActPos_X,0.048861,0.000000,0.000000,0.000000
Spd_ActPos_Z,0.109642,0.000000,0.000000,0.000000
Spd_ActSpeed_C,0.000000,0.000000,0.000000,0.000000
Spd_ActSpeed_X,0.000000,0.000000,0.000000,0.000000
Spd_ActSpeed_Z,0.000000,0.000000,0.000000,0.000000
CLF_A_700307,0.000000,0.000000,0.000000,0.000000
CLT_A_700310,0.000000,0.000000,0.000000,0.000000
F_A_700313,0.000000,0.000000,0.000000,0.000000
HP_A_700304,0.000000,0.000000,0.000000,0.000000
LP_A_700301,0.000000,0.000000,0.000000,0.000000
LT_A_700317,0.000000,0.000000,0.000000,0.000000
Hyd_A_700202,0.000000,0.000000,0.000000,0.000000
Hyd_A_700203,0.000000,0.000000,0.000000,0.000000
Hyd_A_700204,0.005950,0.000000,0.000000,0.000000
Hyd_A_700205,0.000000,0.000000,0.000000,0.000000
Hyd_A_700206,0.000000,0.000000,0.000000,0.000000
Hyd_A_700207,0.000000,0.000000,0.000000,0.000000
Hyd_A_700208,0.000000,0.000000,0.000000,0.000000
MPA_A_701124,0.000000,0.000000,0.000000,0.000000
MPA_A_701125,0.000000,0.000000,0.000000,0.000000
Prog_A_701330,0.001078,0.000000,0.000000,0.000000
SR_A_67040,0.000000,0.000000,0.000000,0.000000
T_A_701309,0.000000,0.000000,0.000000,0.000000
CBC_Closed,0.011240,0.000000,0.000000,0.000000
CBC_close,0.000000,0.000000,0.000000,0.000000
CBC_isOpen,0.000000,0.000000,0.000000,0.000000
CBC_open,0.000000,0.000000,0.000000,0.000000
CLF_Filter_Ok,0.000000,0.000000,0.000000,0.000000
CLT_Level_lt_Min,0.000000,0.000000,0.000000,0.000000
ExU_On,0.050634,0.000000,0.000000,0.000000
ExU_isOff,0.000000,0.000000,0.000000,0.000000
HP_On,0.000000,0.000000,0.000000,0.000000
HP_isOff,0.241736,0.000000,0.000000,0.000000
Hyd_Fan_On,0.024999,0.000000,0.000000,0.000000
Hyd_Fan_isOff,0.002661,0.000000,0.000000,0.000000
Hyd_Motor_On,0.812943,0.000000,0.000000,0.000000
Hyd_Motor_isOff,0.000000,0.000000,0.000000,0.000000
Hyd_Motor_isRotating,0.001107,0.000000,0.000000,0.000000
LP_On,0.241653,0.000000,0.000000,0.000000
LP_isOff,0.106590,0.000000,0.000000,0.000000
M_CoolProg,0.189030,0.000000,0.000000,0.000000
M_M08,0.005766,0.000000,0.000000,0.000000
M_isActive,0.000000,0.000000,0.000000,0.000000
M_isReady,0.000000,nan,nan,nan
M_isRotating,0.000000,nan,nan,nan
Prog_Active,0.042530,nan,nan,nan
Prog_Idle,0.006281,nan,nan,nan
Prog_Status,0.046249,nan,nan,nan
Spd_isCommandedPos_C,0.000000,nan,nan,nan
Spd_isCommandedPos_X,0.001154,nan,nan,nan
Spd_isCommandedPos_Z,0.000000,nan,nan,nan
Spd_isInPos_C,0.000000,nan,nan,nan
Spd_isInPos_X,0.000000,nan,nan,nan
