time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,CLT_A_700310,False,Alarm
0.0,CLT_Level_lt_Min,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_A_700304,False,Alarm
0.0,HP_Pump_Ok,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,False,Binary
0.0,M_PowerOnDuration,238.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,128601.786,Counter
0.0,Prog_CycleTime,0.086,Counter
0.0,Prog_LineNo,0,Categorical
0.0,Prog_Name,MAIN_CH1_MPF,Categorical
0.0,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
0.0,SL_Green,False,Binary
0.0,SL_Red,False,Binary
0.0,SRL_Locked,True,Binary
0.0,SRL_Unlocked,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,53.555,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002349_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
33.109,Prog_CycleTime,0.014,Counter
33.109,Prog_LineNo,-2,Categorical
33.109,Prog_Name_LineNo,MAIN_CH1_MPF|-2,Categorical
33.209,Prog_CycleTime,0.086,Counter
33.786,M_PowerOnDuration,239.0,Counter
34.13,Prog_LineNo,1,Categorical
34.13,Prog_Name_LineNo,MAIN_CH1_MPF|1,Categorical
34.284,SL_Green,True,Binary
34.33,Prog_Name,HOME_CH1_SPF,Categorical
34.33,Prog_Name_LineNo,HOME_CH1_SPF|1,Categorical
34.695,SR_A_67040,True,Alarm
34.956,SR_A_67040,False,Alarm
35.03,Prog_LineNo,202,Categorical
35.03,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
35.13,Prog_CycleTime,0.992,Counter
35.356,Prog_A_701330,True,Alarm
35.487,Prog_A_701330,False,Alarm
35.635,Prog_Name,READ_DATA_SPF,Categorical
35.635,Prog_Name_LineNo,READ_DATA_SPF|202,Categorical
36.035,Prog_CycleTime,1.896,Counter
36.035,Prog_LineNo,103,Categorical
36.035,Prog_Name_LineNo,READ_DATA_SPF|103,Categorical
37.052,CBC_Closed,False,Binary
37.116,CBC_close,False,Binary
37.136,Prog_CycleTime,2.996,Counter
37.136,Prog_LineNo,106,Categorical
37.136,Prog_Name,LOAD_RT_TEST_SPF,Categorical
37.136,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
37.182,CBC_open,True,Binary
37.836,Prog_LineNo,109,Categorical
37.836,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
37.85,CBC_isOpen,True,Binary
38.037,Prog_CycleTime,3.896,Counter
39.037,Prog_CycleTime,4.896,Counter
40.038,Prog_CycleTime,5.896,Counter
40.32,WCL_toInitPos,False,Binary
40.352,WCL_InitPos,False,Binary
40.352,WCL_toWorkPos,True,Binary
40.546,WCL_WorkPos,True,Binary
40.676,WCL_Unlocked,False,Binary
40.72,WCL_Locked,True,Binary
41.039,Prog_CycleTime,6.896,Counter
41.039,Prog_LineNo,159,Categorical
41.039,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
41.039,Spd_ActPos_C,31.14,Continuous
41.039,Spd_ActPos_X,307.777,Continuous
41.039,Spd_ActSpeed_X,10320.0,Continuous
41.84,Spd_ActPos_X,612.124,Continuous
41.84,Spd_ActSpeed_X,0.0,Continuous
42.039,Spd_ActPos_Z,436.677,Continuous
42.039,Spd_ActSpeed_Z,-20685.271,Continuous
42.14,Prog_CycleTime,7.996,Counter
42.14,Prog_LineNo,169,Categorical
42.14,Prog_Name_LineNo,LOAD_RT_TEST_SPF|169,Categorical
42.742,Prog_Name,MAIN_CH1_MPF,Categorical
42.742,Prog_Name_LineNo,MAIN_CH1_MPF|169,Categorical
42.742,Spd_ActPos_Z,403.617,Continuous
42.742,Spd_ActSpeed_Z,0.0,Continuous
42.942,Prog_CycleTime,0.084,Counter
42.942,Prog_LineNo,0,Categorical
42.942,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
43.092,SL_Green,False,Binary
46.913,Prog_CycleTime,0.086,Counter
52.005,Prog_CycleTime,0.084,Counter
53.023,SL_Green,True,Binary
53.047,Prog_CycleTime,0.086,Counter
53.292,SL_Green,False,Binary
65.05,SL_Green,True,Binary
65.128,Prog_CycleTime,0.164,Counter
65.128,Prog_LineNo,32,Categorical
65.128,Prog_Name,HOME_CH1_SPF,Categorical
65.128,Prog_Name_LineNo,HOME_CH1_SPF|32,Categorical
65.493,SR_A_67040,True,Alarm
65.529,Prog_LineNo,127,Categorical
65.529,Prog_Name_LineNo,HOME_CH1_SPF|127,Categorical
65.629,Spd_ActSpeed_Z,5000.0,Continuous
65.769,SR_A_67040,False,Alarm
66.129,Prog_CycleTime,1.164,Counter
66.129,Spd_ActPos_Z,455.71,Continuous
66.629,Spd_ActPos_Z,495.0,Continuous
66.729,Prog_LineNo,128,Categorical
66.729,Prog_Name_LineNo,HOME_CH1_SPF|128,Categorical
66.729,Spd_ActSpeed_X,-5000.0,Continuous
66.729,Spd_ActSpeed_Z,0.0,Continuous
67.129,Prog_CycleTime,2.164,Counter
67.129,Spd_ActPos_X,575.194,Continuous
68.13,Prog_CycleTime,3.164,Counter
68.13,Spd_ActPos_X,491.86,Continuous
69.131,Prog_CycleTime,4.164,Counter
69.131,Spd_ActPos_X,408.527,Continuous
70.131,Prog_CycleTime,5.164,Counter
70.131,Spd_ActPos_X,325.194,Continuous
70.532,Spd_ActPos_X,300.0,Continuous
70.532,Spd_ActSpeed_X,0.0,Continuous
70.796,WCL_Unlocked,True,Binary
70.992,WCL_Locked,False,Binary
71.032,Prog_LineNo,196,Categorical
71.032,Prog_Name_LineNo,HOME_CH1_SPF|196,Categorical
71.132,Prog_CycleTime,6.164,Counter
71.156,WCL_WorkPos,False,Binary
71.232,WCL_toInitPos,True,Binary
71.242,WCL_toWorkPos,False,Binary
71.416,WCL_InitPos,True,Binary
71.532,Prog_LineNo,198,Categorical
71.532,Prog_Name_LineNo,HOME_CH1_SPF|198,Categorical
71.731,CBC_close,True,Binary
71.753,CBC_open,False,Binary
71.807,CBC_isOpen,False,Binary
72.133,Prog_CycleTime,7.164,Counter
72.533,Prog_LineNo,202,Categorical
72.533,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
72.545,CBC_Closed,True,Binary
72.8,Prog_A_701330,True,Alarm
73.133,Prog_CycleTime,8.164,Counter
73.895,Prog_A_701330,False,Alarm
74.04,Prog_LineNo,33,Categorical
74.04,Prog_Name,READ_DATA_SPF,Categorical
74.04,Prog_Name_LineNo,READ_DATA_SPF|33,Categorical
74.145,Prog_CycleTime,9.17,Counter
75.067,ExU_On,True,Binary
75.089,ExU_isOff,False,Binary
75.141,Prog_CycleTime,10.17,Counter
75.141,Prog_LineNo,21,Categorical
75.141,Prog_Name,CHK_CLMP_HEAD_SPF,Categorical
75.141,Prog_Name_LineNo,CHK_CLMP_HEAD_SPF|21,Categorical
75.189,M_Lifebit,True,Binary
75.331,CBC_close,False,Binary
75.442,CBC_open,True,Binary
75.541,Prog_LineNo,106,Categorical
75.541,Prog_Name,LOAD_RT_TEST_SPF,Categorical
75.541,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
75.607,CBC_Closed,False,Binary
75.992,M_Lifebit,False,Binary
76.142,Prog_CycleTime,11.17,Counter
76.314,CBC_isOpen,True,Binary
76.326,WCL_toInitPos,False,Binary
76.336,WCL_InitPos,False,Binary
76.528,WCL_WorkPos,True,Binary
76.528,WCL_toWorkPos,True,Binary
77.012,WCL_Locked,True,Binary
77.046,WCL_Unlocked,False,Binary
77.142,Prog_CycleTime,12.17,Counter
77.142,Prog_LineNo,159,Categorical
77.142,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
77.142,Spd_ActPos_X,300.433,Continuous
77.142,Spd_ActSpeed_X,2160.0,Continuous
78.043,Prog_LineNo,168,Categorical
78.043,Prog_Name_LineNo,LOAD_RT_TEST_SPF|168,Categorical
78.043,Spd_ActPos_X,612.124,Continuous
78.043,Spd_ActSpeed_X,0.0,Continuous
78.143,Prog_CycleTime,13.17,Counter
78.143,Spd_ActPos_Z,466.636,Continuous
78.143,Spd_ActSpeed_Z,-28026.75,Continuous
78.343,Prog_LineNo,173,Categorical
78.343,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
78.443,Spd_ActSpeed_Z,-2500.0,Continuous
79.144,Prog_CycleTime,14.17,Counter
79.144,Spd_ActPos_Z,391.135,Continuous
80.145,Prog_CycleTime,15.17,Counter
80.145,Spd_ActPos_Z,349.468,Continuous
81.145,Prog_CycleTime,16.17,Counter
81.145,Spd_ActPos_Z,307.801,Continuous
81.194,M_Lifebit,True,Binary
81.864,M_Lifebit,False,Binary
82.146,Prog_CycleTime,17.17,Counter
82.146,Spd_ActPos_Z,266.135,Continuous
82.346,Prog_LineNo,178,Categorical
82.346,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
82.446,Spd_ActSpeed_Z,-800.0,Continuous
83.147,Prog_CycleTime,18.17,Counter
83.147,Spd_ActPos_Z,249.034,Continuous
83.548,Prog_LineNo,183,Categorical
83.548,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
83.548,Spd_ActPos_Z,244.786,Continuous
83.548,Spd_ActSpeed_Z,0.0,Continuous
84.106,SL_Red,True,Binary
84.148,Prog_CycleTime,19.17,Counter
84.848,Prog_LineNo,185,Categorical
84.848,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
85.148,Prog_CycleTime,20.17,Counter
86.049,Prog_LineNo,187,Categorical
86.049,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
86.149,Prog_CycleTime,21.17,Counter
87.05,Prog_LineNo,190,Categorical
87.05,Prog_Name_LineNo,LOAD_RT_TEST_SPF|190,Categorical
87.15,Prog_CycleTime,22.17,Counter
87.824,WCL_Unlocked,True,Binary
87.85,Prog_LineNo,192,Categorical
87.85,Prog_Name_LineNo,LOAD_RT_TEST_SPF|192,Categorical
87.908,SL_Red,False,Binary
87.963,WCL_Locked,False,Binary
88.15,Prog_CycleTime,23.17,Counter
88.15,Spd_ActPos_Z,478.202,Continuous
88.15,Spd_ActSpeed_Z,24807.0,Continuous
88.35,Spd_ActPos_Z,495.0,Continuous
88.35,Spd_ActSpeed_Z,0.0,Continuous
88.415,WCL_toInitPos,True,Binary
88.415,WCL_toWorkPos,False,Binary
88.639,WCL_WorkPos,False,Binary
88.767,WCL_InitPos,True,Binary
88.951,Prog_LineNo,222,Categorical
88.951,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
88.985,MPC_Closed,False,Binary
88.985,MPC_open,True,Binary
89.071,MPC_close,False,Binary
89.151,Prog_CycleTime,24.17,Counter
89.151,Spd_ActPos_X,531.435,Continuous
89.151,Spd_ActSpeed_X,-33840.0,Continuous
89.193,SL_Red,True,Binary
89.409,MPC_isOpen,True,Binary
89.432,MPA_InitPos,False,Binary
89.594,MPA_toWorkPos,True,Binary
89.615,CBC_close,True,Binary
89.615,CBC_open,False,Binary
89.652,Spd_ActSpeed_C,-36000.0,Continuous
89.689,MPA_toInitPos,False,Binary
89.822,CBC_isOpen,False,Binary
89.952,Spd_ActPos_X,150.0,Continuous
