time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_Pump_isOff,False,Binary
0.0,Hyd_A_700205,False,Alarm
0.0,Hyd_A_700206,False,Alarm
0.0,Hyd_IsEnabled,True,Binary
0.0,Hyd_Level_Ok,True,Binary
0.0,Hyd_Pump_On,True,Binary
0.0,Hyd_Pump_isOff,False,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,False,Binary
0.0,M_PowerOnDuration,102.0,Counter
0.0,M_WarnActive,False,Binary
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_CuttingTime,122921.534,Counter
0.0,Prog_CycleTime,0.606,Counter
0.0,Prog_LineNo,131,Categorical
0.0,Prog_Name,HOME_CH1_SPF,Categorical
0.0,Prog_Name_LineNo,HOME_CH1_SPF|131,Categorical
0.0,SL_Green,True,Binary
0.0,SL_Red,False,Binary
0.0,SL_Yellow,False,Binary
0.0,SRL_Unlocked,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,SR_tighten,True,Binary
0.0,Spd_ActPos_C,113.951,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002474_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.286,Prog_LineNo,33,Categorical
0.286,Prog_Name,READ_DATA_SPF,Categorical
0.286,Prog_Name_LineNo,READ_DATA_SPF|33,Categorical
0.486,Prog_CycleTime,1.606,Counter
1.487,Prog_CycleTime,2.606,Counter
1.487,Prog_LineNo,11,Categorical
1.487,Prog_Name,LOAD_RT_TEST_SPF,Categorical
1.487,Prog_Name_LineNo,LOAD_RT_TEST_SPF|11,Categorical
1.581,CBC_close,False,Binary
1.755,CBC_Closed,False,Binary
1.787,Prog_LineNo,106,Categorical
1.787,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
1.821,CBC_open,True,Binary
2.488,Prog_CycleTime,3.606,Counter
2.588,Prog_LineNo,109,Categorical
2.588,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
2.698,CBC_isOpen,True,Binary
3.488,Prog_CycleTime,4.606,Counter
4.489,Prog_CycleTime,5.606,Counter
4.995,WCL_InitPos,False,Binary
5.072,WCL_toInitPos,False,Binary
5.104,WCL_toWorkPos,True,Binary
5.29,Prog_LineNo,111,Categorical
5.29,Prog_Name_LineNo,LOAD_RT_TEST_SPF|111,Categorical
5.378,WCL_WorkPos,True,Binary
5.42,WCL_Unlocked,False,Binary
5.49,Prog_CycleTime,6.606,Counter
5.564,WCL_Locked,True,Binary
5.79,Spd_ActPos_C,31.14,Continuous
6.227,HP_Pump_isOff,True,Binary
6.491,Prog_CycleTime,7.606,Counter
6.491,Prog_LineNo,168,Categorical
6.491,Prog_Name_LineNo,LOAD_RT_TEST_SPF|168,Categorical
6.491,Spd_ActPos_X,612.124,Continuous
6.791,Prog_LineNo,173,Categorical
6.791,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
6.891,Spd_ActSpeed_Z,-2500.0,Continuous
7.492,Prog_CycleTime,8.606,Counter
7.492,Spd_ActPos_Z,396.551,Continuous
7.691,M_PowerOnDuration,103.0,Counter
8.493,Prog_CycleTime,9.606,Counter
8.493,Spd_ActPos_Z,354.885,Continuous
8.961,ExU_On,True,Binary
9.059,ExU_isOff,False,Binary
9.493,Prog_CycleTime,10.606,Counter
9.493,Spd_ActPos_Z,313.218,Continuous
10.494,Prog_CycleTime,11.606,Counter
10.494,Spd_ActPos_Z,271.551,Continuous
10.894,Prog_LineNo,178,Categorical
10.894,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
10.894,Spd_ActSpeed_Z,-800.0,Continuous
11.494,Prog_CycleTime,12.606,Counter
11.494,Spd_ActPos_Z,250.767,Continuous
11.995,Prog_LineNo,183,Categorical
11.995,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
11.995,Spd_ActPos_Z,244.786,Continuous
11.995,Spd_ActSpeed_Z,0.0,Continuous
12.495,Prog_CycleTime,13.606,Counter
13.296,Prog_LineNo,185,Categorical
13.296,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
13.496,Prog_CycleTime,14.606,Counter
14.497,Prog_CycleTime,15.606,Counter
14.497,Prog_LineNo,187,Categorical
14.497,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
15.498,Prog_CycleTime,16.606,Counter
15.498,Prog_LineNo,189,Categorical
15.498,Prog_Name_LineNo,LOAD_RT_TEST_SPF|189,Categorical
16.28,WCL_Unlocked,True,Binary
16.298,Prog_LineNo,192,Categorical
16.298,Prog_Name_LineNo,LOAD_RT_TEST_SPF|192,Categorical
16.336,WCL_Locked,False,Binary
16.498,Prog_CycleTime,17.606,Counter
16.498,Spd_ActPos_Z,403.386,Continuous
16.498,Spd_ActSpeed_Z,36000.0,Continuous
16.798,Spd_ActPos_Z,495.0,Continuous
16.798,Spd_ActSpeed_Z,0.0,Continuous
16.955,WCL_toWorkPos,False,Binary
17.041,WCL_WorkPos,False,Binary
17.075,WCL_toInitPos,True,Binary
17.225,WCL_InitPos,True,Binary
17.377,MPC_close,False,Binary
17.4,Prog_LineNo,222,Categorical
17.4,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
17.409,MPC_open,True,Binary
17.499,Prog_CycleTime,18.606,Counter
17.499,Spd_ActPos_X,585.195,Continuous
17.499,Spd_ActSpeed_X,-19440.0,Continuous
17.572,MPC_Closed,False,Binary
18.007,MPA_toWorkPos,True,Binary
18.049,MPA_toInitPos,False,Binary
18.082,MPC_isOpen,True,Binary
18.155,CBC_open,False,Binary
18.178,MPA_InitPos,False,Binary
18.2,Spd_ActSpeed_C,-36000.0,Continuous
18.263,CBC_isOpen,False,Binary
18.36,CBC_close,True,Binary
18.5,Prog_CycleTime,19.606,Counter
18.5,Prog_LineNo,-2,Categorical
18.5,Prog_Name_LineNo,LOAD_RT_TEST_SPF|-2,Categorical
18.5,Spd_ActPos_C,124.476,Continuous
18.5,Spd_ActPos_X,150.0,Continuous
18.5,Spd_ActSpeed_X,0.0,Continuous
19.0,T_ActToolIdent,3D_PROBE,Categorical
19.039,CBC_Closed,True,Binary
19.081,MPA_WorkPos,True,Binary
19.127,MP_Inactive,False,Binary
19.149,T_A_701309,True,Alarm
19.301,Spd_ActPos_C,0.0,Continuous
19.301,Spd_ActSpeed_C,0.0,Continuous
19.501,Prog_CycleTime,20.606,Counter
19.501,Prog_LineNo,703,Categorical
19.501,Prog_Name,TOOL_CALL_SPF,Categorical
19.501,Prog_Name_LineNo,TOOL_CALL_SPF|703,Categorical
19.775,TL_Locked,False,Binary
20.505,Prog_CycleTime,21.61,Counter
20.505,Prog_LineNo,70,Categorical
20.505,Prog_Name,RUN_MEAS_SPF,Categorical
20.505,Prog_Name_LineNo,RUN_MEAS_SPF|70,Categorical
20.533,M_Lifebit,True,Binary
20.663,TL_Locked,True,Binary
21.106,Prog_LineNo,93,Categorical
21.106,Prog_Name_LineNo,RUN_MEAS_SPF|93,Categorical
21.106,Spd_ActPos_X,119.9,Continuous
21.206,Spd_ActSpeed_Z,-5400.0,Continuous
21.224,M_Lifebit,False,Binary
21.506,Prog_CycleTime,22.61,Counter
21.506,Spd_ActPos_Z,456.618,Continuous
21.806,Prog_LineNo,94,Categorical
21.806,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
21.806,Spd_ActSpeed_Z,-1000.0,Continuous
22.507,Prog_CuttingTime,122922.332,Counter
22.507,Prog_CycleTime,23.61,Counter
22.507,Spd_ActPos_Z,431.247,Continuous
23.007,Spd_ActPos_Z,423.365,Continuous
23.007,Spd_ActSpeed_Z,0.0,Continuous
23.207,Prog_LineNo,115,Categorical
23.207,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
23.207,Spd_ActSpeed_X,100.0,Continuous
23.507,Prog_CuttingTime,122923.202,Counter
23.507,Prog_CycleTime,24.61,Counter
23.507,Spd_ActPos_X,121.033,Continuous
24.408,Prog_LineNo,126,Categorical
24.408,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
24.508,Prog_CuttingTime,122924.15,Counter
24.508,Prog_CycleTime,25.61,Counter
24.508,Spd_ActPos_X,121.663,Continuous
24.508,Spd_ActSpeed_X,-500.0,Continuous
24.909,Prog_LineNo,115,Categorical
24.909,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
24.909,Spd_ActPos_C,72.0,Continuous
24.909,Spd_ActSpeed_X,100.0,Continuous
25.509,Prog_CuttingTime,122925.112,Counter
25.509,Prog_CycleTime,26.61,Counter
25.509,Spd_ActPos_X,121.44,Continuous
26.51,Prog_CuttingTime,122926.032,Counter
26.51,Prog_CycleTime,27.61,Counter
26.51,Prog_LineNo,114,Categorical
26.51,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
26.51,Spd_ActPos_C,88.098,Continuous
26.51,Spd_ActPos_X,120.4,Continuous
26.51,Spd_ActSpeed_C,38577.6,Continuous
26.51,Spd_ActSpeed_X,0.0,Continuous
26.71,Prog_LineNo,115,Categorical
26.71,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
26.71,Spd_ActPos_C,144.0,Continuous
26.71,Spd_ActSpeed_C,0.0,Continuous
26.71,Spd_ActSpeed_X,100.0,Continuous
27.51,Prog_CuttingTime,122927.022,Counter
27.51,Prog_CycleTime,28.61,Counter
27.51,Spd_ActPos_X,121.856,Continuous
28.411,Spd_ActPos_C,216.0,Continuous
28.511,Prog_CuttingTime,122927.932,Counter
28.511,Prog_CycleTime,29.61,Counter
28.511,Spd_ActPos_X,120.606,Continuous
29.512,Prog_CuttingTime,122928.932,Counter
29.512,Prog_CycleTime,30.61,Counter
29.512,Spd_ActPos_X,122.273,Continuous
30.213,Spd_ActPos_C,288.0,Continuous
30.513,Prog_CuttingTime,122929.842,Counter
30.513,Prog_CycleTime,31.61,Counter
30.513,Spd_ActPos_X,121.02,Continuous
31.513,Prog_CuttingTime,122930.79,Counter
31.513,Prog_CycleTime,32.61,Counter
31.513,Prog_LineNo,126,Categorical
31.513,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
31.513,Spd_ActPos_X,121.69,Continuous
31.513,Spd_ActSpeed_X,-500.0,Continuous
31.528,M_Lifebit,True,Binary
31.714,Prog_CuttingTime,122930.958,Counter
31.714,Spd_ActPos_X,120.4,Continuous
31.714,Spd_ActSpeed_X,0.0,Continuous
32.114,Spd_ActPos_Z,444.365,Continuous
32.322,M_Lifebit,False,Binary
32.514,Prog_CycleTime,33.61,Counter
32.514,Prog_LineNo,78,Categorical
32.514,Prog_Name,TOOL_CALL_SPF,Categorical
32.514,Prog_Name_LineNo,TOOL_CALL_SPF|78,Categorical
32.815,Prog_Name,PROBE_Z_SPF,Categorical
32.815,Prog_Name_LineNo,PROBE_Z_SPF|78,Categorical
33.015,Spd_ActPos_C,0.0,Continuous
33.015,Spd_ActPos_X,128.382,Continuous
33.215,Prog_LineNo,94,Categorical
33.215,Prog_Name_LineNo,PROBE_Z_SPF|94,Categorical
33.315,Spd_ActSpeed_Z,-100.0,Continuous
33.515,Prog_CuttingTime,122931.382,Counter
33.515,Prog_CycleTime,34.61,Counter
33.515,Spd_ActPos_Z,438.358,Continuous
34.516,Prog_CuttingTime,122932.382,Counter
34.516,Prog_CycleTime,35.61,Counter
34.516,Spd_ActPos_Z,436.692,Continuous
