time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_A_701124,False,Alarm
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_PowerOnDuration,11.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,134732.212,Counter
0.0,Prog_CycleTime,0.082,Counter
0.0,Prog_LineNo,0,Categorical
0.0,Prog_Name,MAIN_CH1_MPF,Categorical
0.0,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
0.0,SL_Green,False,Binary
0.0,SL_Red,False,Binary
0.0,SRL_lock,True,Binary
0.0,SRL_unlock,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,30.712,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002349_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
33.105,Prog_LineNo,1,Categorical
33.105,Prog_Name_LineNo,MAIN_CH1_MPF|1,Categorical
33.327,Prog_CycleTime,0.084,Counter
33.327,Prog_LineNo,0,Categorical
33.327,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
34.897,SL_Green,True,Binary
34.961,Prog_Name,HOME_CH1_SPF,Categorical
34.961,Prog_Name_LineNo,HOME_CH1_SPF|0,Categorical
35.061,Prog_LineNo,125,Categorical
35.061,Prog_Name_LineNo,HOME_CH1_SPF|125,Categorical
35.136,SL_Red,True,Binary
35.161,Prog_CycleTime,0.424,Counter
35.351,SR_A_67040,True,Alarm
35.548,SL_Red,False,Binary
35.555,SR_A_67040,False,Alarm
35.661,Prog_LineNo,202,Categorical
35.661,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
35.941,Prog_A_701330,True,Alarm
36.161,Prog_CycleTime,1.424,Counter
37.162,Prog_CycleTime,2.424,Counter
38.163,Prog_CycleTime,3.424,Counter
38.947,Prog_A_701330,False,Alarm
39.07,Prog_LineNo,33,Categorical
39.07,Prog_Name,READ_DATA_SPF,Categorical
39.07,Prog_Name_LineNo,READ_DATA_SPF|33,Categorical
39.17,Prog_CycleTime,4.43,Counter
40.171,Prog_CycleTime,5.43,Counter
40.171,Prog_LineNo,50,Categorical
40.171,Prog_Name,MAIN_CH1_MPF,Categorical
40.171,Prog_Name_LineNo,MAIN_CH1_MPF|50,Categorical
40.391,CBC_open,True,Binary
40.535,CBC_close,False,Binary
40.571,Prog_Name,LOAD_RT_TEST_SPF,Categorical
40.571,Prog_Name_LineNo,LOAD_RT_TEST_SPF|50,Categorical
40.671,Prog_LineNo,106,Categorical
40.671,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
40.737,CBC_Closed,False,Binary
41.171,Prog_CycleTime,6.43,Counter
41.276,CBC_isOpen,True,Binary
41.371,Prog_LineNo,109,Categorical
41.371,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
42.172,Prog_CycleTime,7.43,Counter
43.173,Prog_CycleTime,8.43,Counter
43.611,WCL_toWorkPos,True,Binary
43.719,WCL_toInitPos,False,Binary
43.761,WCL_InitPos,False,Binary
43.935,WCL_WorkPos,True,Binary
44.073,Prog_LineNo,111,Categorical
44.073,Prog_Name_LineNo,LOAD_RT_TEST_SPF|111,Categorical
44.076,WCL_Locked,True,Binary
44.108,WCL_Unlocked,False,Binary
44.173,Prog_CycleTime,9.43,Counter
44.474,Prog_LineNo,159,Categorical
44.474,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
44.474,Spd_ActPos_C,31.14,Continuous
44.76,ExU_On,True,Binary
44.826,ExU_isOff,False,Binary
45.174,Prog_CycleTime,10.43,Counter
45.174,Spd_ActPos_X,610.136,Continuous
45.174,Spd_ActSpeed_X,5544.8,Continuous
45.275,Spd_ActPos_X,612.124,Continuous
45.275,Spd_ActSpeed_X,0.0,Continuous
45.675,Prog_LineNo,173,Categorical
45.675,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
45.675,Spd_ActSpeed_Z,-2500.0,Continuous
46.175,Prog_CycleTime,11.43,Counter
46.175,Spd_ActPos_Z,400.968,Continuous
47.176,Prog_CycleTime,12.43,Counter
47.176,Spd_ActPos_Z,359.301,Continuous
48.177,Prog_CycleTime,13.43,Counter
48.177,Spd_ActPos_Z,317.635,Continuous
49.177,Prog_CycleTime,14.43,Counter
49.177,Spd_ActPos_Z,275.968,Continuous
49.678,Prog_LineNo,178,Categorical
49.678,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
49.678,Spd_ActSpeed_Z,-800.0,Continuous
50.178,Prog_CycleTime,15.43,Counter
50.178,Spd_ActPos_Z,252.18,Continuous
50.779,Spd_ActPos_Z,244.786,Continuous
50.779,Spd_ActSpeed_Z,0.0,Continuous
50.88,Prog_LineNo,183,Categorical
50.88,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
51.179,Prog_CycleTime,16.43,Counter
52.079,Prog_LineNo,185,Categorical
52.079,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
52.179,Prog_CycleTime,17.43,Counter
53.081,Prog_LineNo,186,Categorical
53.081,Prog_Name_LineNo,LOAD_RT_TEST_SPF|186,Categorical
53.18,Prog_CycleTime,18.43,Counter
53.281,Prog_LineNo,187,Categorical
53.281,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
54.182,Prog_CycleTime,19.43,Counter
55.052,WCL_Unlocked,True,Binary
55.082,Prog_LineNo,192,Categorical
55.082,Prog_Name_LineNo,LOAD_RT_TEST_SPF|192,Categorical
55.182,Prog_CycleTime,20.43,Counter
55.182,Spd_ActPos_Z,333.919,Continuous
55.182,Spd_ActSpeed_Z,34548.0,Continuous
55.268,WCL_Locked,False,Binary
55.582,Spd_ActPos_Z,495.0,Continuous
55.582,Spd_ActSpeed_Z,0.0,Continuous
55.627,WCL_toWorkPos,False,Binary
55.69,WCL_WorkPos,False,Binary
55.907,WCL_toInitPos,True,Binary
56.057,WCL_InitPos,True,Binary
56.143,MPC_open,True,Binary
56.175,MPC_Closed,False,Binary
56.183,Prog_CycleTime,21.43,Counter
56.183,Prog_LineNo,222,Categorical
56.183,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
56.183,Spd_ActPos_X,609.591,Continuous
56.183,Spd_ActSpeed_X,-5760.0,Continuous
56.305,MPC_close,False,Binary
56.683,M_PowerOnDuration,12.0,Counter
56.813,MPA_InitPos,False,Binary
56.847,MPA_toWorkPos,True,Binary
56.869,CBC_close,True,Binary
56.889,MPA_toInitPos,False,Binary
56.901,MPC_isOpen,True,Binary
56.983,Spd_ActSpeed_C,-36000.0,Continuous
57.063,CBC_isOpen,False,Binary
57.097,CBC_open,False,Binary
57.183,Prog_CycleTime,22.43,Counter
57.183,Spd_ActPos_C,192.876,Continuous
57.183,Spd_ActPos_X,150.442,Continuous
57.183,Spd_ActSpeed_X,-2664.8,Continuous
57.284,Spd_ActPos_X,150.0,Continuous
57.284,Spd_ActSpeed_X,0.0,Continuous
57.784,T_ActToolIdent,3D_PROBE,Categorical
57.83,CBC_Closed,True,Binary
57.928,MPA_WorkPos,True,Binary
57.938,T_A_701309,True,Alarm
57.984,Prog_Name,RUN_MEAS_SPF,Categorical
57.984,Prog_Name_LineNo,RUN_MEAS_SPF|222,Categorical
58.084,Spd_ActPos_C,0.0,Continuous
58.084,Spd_ActSpeed_C,0.0,Continuous
58.136,MP_Inactive,False,Binary
58.171,T_A_701309,False,Alarm
58.189,Prog_CycleTime,23.43,Counter
58.189,Prog_LineNo,56,Categorical
58.189,Prog_Name_LineNo,RUN_MEAS_SPF|56,Categorical
59.085,Prog_LineNo,93,Categorical
59.085,Prog_Name_LineNo,RUN_MEAS_SPF|93,Categorical
59.085,Spd_ActPos_X,119.9,Continuous
59.185,Prog_CycleTime,24.43,Counter
59.185,Spd_ActPos_Z,482.898,Continuous
59.185,Spd_ActSpeed_Z,-5400.0,Continuous
59.685,Prog_LineNo,94,Categorical
59.685,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
59.785,Spd_ActSpeed_Z,-1000.0,Continuous
60.186,Prog_CuttingTime,134732.718,Counter
60.186,Prog_CycleTime,25.43,Counter
60.186,Spd_ActPos_Z,436.114,Continuous
60.986,Spd_ActPos_Z,423.365,Continuous
60.986,Spd_ActSpeed_Z,0.0,Continuous
61.186,Prog_CuttingTime,134733.588,Counter
61.186,Prog_CycleTime,26.43,Counter
61.186,Prog_LineNo,115,Categorical
61.186,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
61.186,Spd_ActPos_X,120.546,Continuous
61.186,Spd_ActSpeed_X,100.0,Continuous
62.187,Prog_CuttingTime,134734.588,Counter
62.187,Prog_CycleTime,27.43,Counter
62.187,Spd_ActPos_X,122.213,Continuous
62.888,Spd_ActPos_C,72.0,Continuous
63.188,Prog_CuttingTime,134735.498,Counter
63.188,Prog_CycleTime,28.43,Counter
63.188,Spd_ActPos_X,120.963,Continuous
64.189,Prog_CuttingTime,134736.446,Counter
64.189,Prog_CycleTime,29.43,Counter
64.189,Prog_LineNo,126,Categorical
64.189,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
64.189,Spd_ActPos_X,121.973,Continuous
64.189,Spd_ActSpeed_X,-500.0,Continuous
64.589,Spd_ActPos_C,144.0,Continuous
64.689,Prog_LineNo,115,Categorical
64.689,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
64.689,Spd_ActSpeed_X,100.0,Continuous
65.189,Prog_CuttingTime,134737.408,Counter
65.189,Prog_CycleTime,30.43,Counter
65.189,Spd_ActPos_X,121.376,Continuous
66.19,Prog_CuttingTime,134738.328,Counter
66.19,Prog_CycleTime,31.43,Counter
66.19,Prog_LineNo,114,Categorical
66.19,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
66.19,Spd_ActPos_C,144.958,Continuous
66.19,Spd_ActPos_X,120.4,Continuous
66.19,Spd_ActSpeed_C,6480.0,Continuous
66.19,Spd_ActSpeed_X,0.0,Continuous
66.391,Prog_LineNo,115,Categorical
66.391,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
66.391,Spd_ActPos_C,216.0,Continuous
66.391,Spd_ActSpeed_C,0.0,Continuous
66.391,Spd_ActSpeed_X,100.0,Continuous
67.191,Prog_CuttingTime,134739.318,Counter
67.191,Prog_CycleTime,32.43,Counter
67.191,Spd_ActPos_X,121.793,Continuous
68.192,Prog_CuttingTime,134740.228,Counter
68.192,Prog_CycleTime,33.43,Counter
68.192,Spd_ActPos_C,288.0,Continuous
68.192,Spd_ActPos_X,120.533,Continuous
69.192,Prog_CuttingTime,134741.228,Counter
69.192,Prog_CycleTime,34.43,Counter
69.192,Spd_ActPos_X,122.2,Continuous
69.693,Prog_CuttingTime,134741.642,Counter
69.693,Spd_ActPos_X,120.4,Continuous
69.693,Spd_ActSpeed_X,0.0,Continuous
70.094,Spd_ActPos_Z,444.365,Continuous
70.194,Prog_CycleTime,35.43,Counter
70.194,Prog_LineNo,71,Categorical
70.194,Prog_Name,MAIN_CH1_MPF,Categorical
70.194,Prog_Name_LineNo,MAIN_CH1_MPF|71,Categorical
70.694,Prog_Name,PROBE_Z_SPF,Categorical
70.694,Prog_Name_LineNo,PROBE_Z_SPF|71,Categorical
70.994,Spd_ActPos_C,0.0,Continuous
70.994,Spd_ActPos_X,128.382,Continuous
