time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_A_701124,False,Alarm
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_Lifebit,True,Binary
0.0,M_PowerOnDuration,41.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,135038.82,Counter
0.0,Prog_CycleTime,0.092,Counter
0.0,Prog_LineNo,0,Categorical
0.0,Prog_Name,MAIN_CH1_MPF,Categorical
0.0,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
0.0,SL_Green,False,Binary
0.0,SL_Red,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,237.669,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002474_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.819,M_Lifebit,False,Binary
1.177,M_Lifebit,True,Binary
2.686,M_Lifebit,False,Binary
4.261,M_Lifebit,True,Binary
6.819,M_Lifebit,False,Binary
9.197,M_Lifebit,True,Binary
10.67,M_Lifebit,False,Binary
11.253,M_Lifebit,True,Binary
12.691,M_Lifebit,False,Binary
20.28,M_Lifebit,True,Binary
21.675,M_Lifebit,False,Binary
27.301,M_Lifebit,True,Binary
28.84,M_Lifebit,False,Binary
30.328,M_Lifebit,True,Binary
31.824,M_Lifebit,False,Binary
32.317,M_Lifebit,True,Binary
32.946,Prog_CycleTime,0.082,Counter
33.869,Prog_LineNo,1,Categorical
33.869,Prog_Name_LineNo,MAIN_CH1_MPF|1,Categorical
33.878,SL_Green,True,Binary
33.922,M_Lifebit,False,Binary
34.068,Prog_Name,HOME_CH1_SPF,Categorical
34.068,Prog_Name_LineNo,HOME_CH1_SPF|1,Categorical
34.444,SR_A_67040,True,Alarm
34.687,SR_A_67040,False,Alarm
34.768,Prog_LineNo,202,Categorical
34.768,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
34.869,Prog_CycleTime,0.974,Counter
35.223,Prog_A_701330,True,Alarm
35.387,Prog_Name,READ_DATA_SPF,Categorical
35.387,Prog_Name_LineNo,READ_DATA_SPF|202,Categorical
35.889,Prog_CycleTime,1.992,Counter
35.889,Prog_LineNo,140,Categorical
35.889,Prog_Name_LineNo,READ_DATA_SPF|140,Categorical
36.728,CBC_open,True,Binary
36.784,CBC_Closed,False,Binary
36.838,CBC_close,False,Binary
36.89,Prog_CycleTime,2.992,Counter
36.89,Prog_LineNo,106,Categorical
36.89,Prog_Name,LOAD_RT_TEST_SPF,Categorical
36.89,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
37.588,Prog_LineNo,109,Categorical
37.588,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
37.808,CBC_isOpen,True,Binary
37.889,Prog_CycleTime,3.992,Counter
38.889,Prog_CycleTime,4.992,Counter
39.89,Prog_CycleTime,5.992,Counter
39.89,Prog_LineNo,110,Categorical
39.89,Prog_Name_LineNo,LOAD_RT_TEST_SPF|110,Categorical
39.904,WCL_toInitPos,False,Binary
39.916,WCL_InitPos,False,Binary
40.1,WCL_toWorkPos,True,Binary
40.22,WCL_WorkPos,True,Binary
40.494,WCL_Unlocked,False,Binary
40.646,WCL_Locked,True,Binary
40.691,Prog_LineNo,159,Categorical
40.691,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
40.891,Prog_CycleTime,6.992,Counter
40.891,Spd_ActPos_C,30.32,Continuous
40.891,Spd_ActPos_X,340.033,Continuous
40.891,Spd_ActSpeed_C,10037.385,Continuous
40.891,Spd_ActSpeed_X,23760.0,Continuous
40.991,Spd_ActPos_C,31.14,Continuous
40.991,Spd_ActSpeed_C,0.0,Continuous
41.591,Spd_ActPos_X,612.124,Continuous
41.591,Spd_ActSpeed_X,0.0,Continuous
41.892,Prog_CycleTime,7.992,Counter
41.892,Prog_LineNo,173,Categorical
41.892,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
41.892,Spd_ActPos_Z,424.882,Continuous
41.892,Spd_ActSpeed_Z,-588.0,Continuous
41.992,Spd_ActSpeed_Z,-2500.0,Continuous
42.892,Prog_CycleTime,8.992,Counter
42.892,Spd_ActPos_Z,383.468,Continuous
43.893,Prog_CycleTime,9.992,Counter
43.893,Spd_ActPos_Z,341.801,Continuous
44.019,ExU_On,True,Binary
44.149,ExU_isOff,False,Binary
44.893,Prog_CycleTime,10.992,Counter
44.893,Spd_ActPos_Z,300.135,Continuous
45.894,Prog_CycleTime,11.992,Counter
45.894,Prog_LineNo,174,Categorical
45.894,Prog_Name_LineNo,LOAD_RT_TEST_SPF|174,Categorical
45.894,Spd_ActPos_Z,259.786,Continuous
45.894,Spd_ActSpeed_Z,0.0,Continuous
45.994,Prog_LineNo,178,Categorical
45.994,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
45.994,Spd_ActSpeed_Z,-800.0,Continuous
46.895,Prog_CycleTime,12.992,Counter
46.895,Spd_ActPos_Z,246.607,Continuous
47.095,Prog_LineNo,183,Categorical
47.095,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
47.095,Spd_ActPos_Z,244.786,Continuous
47.095,Spd_ActSpeed_Z,0.0,Continuous
47.896,Prog_CycleTime,13.992,Counter
48.396,Prog_LineNo,185,Categorical
48.396,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
48.896,Prog_CycleTime,14.992,Counter
49.096,M_PowerOnDuration,42.0,Counter
49.597,Prog_LineNo,187,Categorical
49.597,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
49.897,Prog_CycleTime,15.992,Counter
50.698,Prog_LineNo,190,Categorical
50.698,Prog_Name_LineNo,LOAD_RT_TEST_SPF|190,Categorical
50.898,Prog_CycleTime,16.992,Counter
51.515,WCL_Locked,False,Binary
51.643,WCL_Unlocked,True,Binary
51.898,Prog_CycleTime,17.992,Counter
51.898,Prog_LineNo,196,Categorical
51.898,Prog_Name_LineNo,LOAD_RT_TEST_SPF|196,Categorical
51.898,Spd_ActPos_Z,495.0,Continuous
52.079,WCL_WorkPos,False,Binary
52.079,WCL_toWorkPos,False,Binary
52.199,WCL_toInitPos,True,Binary
52.309,WCL_InitPos,True,Binary
52.499,Prog_LineNo,222,Categorical
52.499,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
52.635,MPC_open,True,Binary
52.657,MPC_close,False,Binary
52.689,MPC_Closed,False,Binary
52.799,Spd_ActSpeed_X,-36000.0,Continuous
52.899,Prog_CycleTime,18.992,Counter
52.899,Spd_ActPos_X,420.124,Continuous
53.027,MPA_toWorkPos,True,Binary
53.049,MPA_InitPos,False,Binary
53.157,MPA_toInitPos,False,Binary
53.17,CBC_open,False,Binary
53.201,Spd_ActSpeed_C,-36000.0,Continuous
53.238,MPC_isOpen,True,Binary
53.304,CBC_isOpen,False,Binary
53.333,CBC_close,True,Binary
53.6,Spd_ActPos_X,150.0,Continuous
53.6,Spd_ActSpeed_X,0.0,Continuous
53.9,Prog_CycleTime,19.992,Counter
53.9,Prog_LineNo,53,Categorical
53.9,Prog_Name,TOOL_CALL_SPF,Categorical
53.9,Prog_Name_LineNo,TOOL_CALL_SPF|53,Categorical
53.9,Spd_ActPos_C,300.876,Continuous
54.1,T_ActToolIdent,3D_PROBE,Categorical
54.122,MPA_WorkPos,True,Binary
54.22,T_A_701309,True,Alarm
54.288,CBC_Closed,True,Binary
54.309,MP_Inactive,False,Binary
54.4,Spd_ActPos_C,0.0,Continuous
54.4,Spd_ActSpeed_C,0.0,Continuous
54.701,Prog_LineNo,-2,Categorical
54.701,Prog_Name,REV_POS_MS_CHECK_SPF,Categorical
54.701,Prog_Name_LineNo,REV_POS_MS_CHECK_SPF|-2,Categorical
54.9,Prog_CycleTime,20.992,Counter
55.601,Prog_Name,RUN_MEAS_SPF,Categorical
55.601,Prog_Name_LineNo,RUN_MEAS_SPF|-2,Categorical
55.701,Prog_LineNo,91,Categorical
55.701,Prog_Name_LineNo,RUN_MEAS_SPF|91,Categorical
55.801,Spd_ActSpeed_X,-5400.0,Continuous
55.901,Prog_CycleTime,21.992,Counter
55.901,Spd_ActPos_X,132.36,Continuous
56.201,Spd_ActPos_X,119.9,Continuous
56.201,Spd_ActSpeed_X,0.0,Continuous
56.902,Prog_CuttingTime,135038.914,Counter
56.902,Prog_CycleTime,22.992,Counter
56.902,Prog_LineNo,94,Categorical
56.902,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
56.902,Spd_ActPos_Z,442.981,Continuous
56.902,Spd_ActSpeed_Z,-1000.0,Continuous
57.902,Prog_CuttingTime,135039.914,Counter
57.902,Prog_CycleTime,23.992,Counter
57.902,Spd_ActPos_Z,426.314,Continuous
58.103,Spd_ActPos_Z,423.365,Continuous
58.103,Spd_ActSpeed_Z,0.0,Continuous
58.303,Prog_LineNo,115,Categorical
58.303,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
58.303,Spd_ActSpeed_X,100.0,Continuous
58.903,Prog_CuttingTime,135040.784,Counter
58.903,Prog_CycleTime,24.992,Counter
58.903,Spd_ActPos_X,121.526,Continuous
59.804,Prog_LineNo,114,Categorical
59.804,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
59.804,Spd_ActPos_X,120.4,Continuous
59.804,Spd_ActSpeed_X,0.0,Continuous
59.904,Prog_CuttingTime,135041.702,Counter
59.904,Prog_CycleTime,25.992,Counter
59.904,Spd_ActPos_C,58.09,Continuous
59.904,Spd_ActSpeed_C,39116.874,Continuous
60.004,Prog_LineNo,115,Categorical
60.004,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
60.004,Spd_ActPos_C,72.0,Continuous
60.004,Spd_ActSpeed_C,0.0,Continuous
60.004,Spd_ActSpeed_X,100.0,Continuous
60.213,M_Lifebit,True,Binary
60.905,Prog_CuttingTime,135042.692,Counter
60.905,Prog_CycleTime,26.992,Counter
60.905,Spd_ActPos_X,121.947,Continuous
61.815,Spd_ActPos_C,144.0,Continuous
61.905,Prog_CuttingTime,135043.602,Counter
61.905,Prog_CycleTime,27.992,Counter
61.905,Spd_ActPos_X,120.69,Continuous
61.933,M_Lifebit,False,Binary
62.906,Prog_CuttingTime,135044.602,Counter
62.906,Prog_CycleTime,28.992,Counter
62.906,Spd_ActPos_X,122.356,Continuous
63.506,Spd_ActPos_C,216.0,Continuous
63.907,Prog_CuttingTime,135045.51,Counter
63.907,Prog_CycleTime,29.992,Counter
63.907,Spd_ActPos_X,121.09,Continuous
64.807,Prog_LineNo,126,Categorical
64.807,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
64.807,Spd_ActSpeed_X,-500.0,Continuous
64.907,Prog_CuttingTime,135046.458,Counter
64.907,Prog_CycleTime,30.992,Counter
64.907,Spd_ActPos_X,121.32,Continuous
65.308,Prog_LineNo,115,Categorical
65.308,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
65.308,Spd_ActPos_C,288.0,Continuous
65.308,Spd_ActSpeed_X,100.0,Continuous
65.908,Prog_CuttingTime,135047.42,Counter
65.908,Prog_CycleTime,31.992,Counter
65.908,Spd_ActPos_X,121.507,Continuous
66.809,Prog_CuttingTime,135048.242,Counter
66.809,Spd_ActPos_X,120.4,Continuous
66.809,Spd_ActSpeed_X,0.0,Continuous
66.909,Prog_CycleTime,32.992,Counter
