time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,CLF_Filter_Ok,True,Binary
0.0,CLT_Level_lt_Min,False,Binary
0.0,ExU_On,True,Binary
0.0,ExU_isOff,False,Binary
0.0,F_Filter_Ok,True,Binary
0.0,HP_Pump_Ok,True,Binary
0.0,HP_Pump_isOff,False,Binary
0.0,Hyd_Filter_Ok,True,Binary
0.0,Hyd_IsEnabled,True,Binary
0.0,Hyd_Level_Ok,True,Binary
0.0,Hyd_Pump_Ok,True,Binary
0.0,Hyd_Pump_On,True,Binary
0.0,Hyd_Pump_isOff,False,Binary
0.0,Hyd_Temp_lt_70,True,Binary
0.0,Hyd_Temp_lt_80,True,Binary
0.0,Hyd_Valve_P_Up,False,Binary
0.0,LP_Pump_Ok,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,LT_Level_Ok,True,Binary
0.0,LT_Pump_Ok,True,Binary
0.0,Lubr_On,False,Binary
0.0,Lubr_P_Ok,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,True,Binary
0.0,M_PowerOnDuration,67940.0,Counter
0.0,M_WarnActive,True,Binary
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_CuttingTime,8018585.482,Counter
0.0,Prog_CycleTime,19069.272,Counter
0.0,Prog_LineNo,155,Categorical
0.0,Prog_Name,WRITE_LOG_ARRAY_SPF,Categorical
0.0,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|155,Categorical
0.0,SL_Green,True,Binary
0.0,SL_Red,False,Binary
0.0,SL_Yellow,True,Binary
0.0,SRL_Locked,False,Binary
0.0,SRL_Unlocked,True,Binary
0.0,SRL_lock,False,Binary
0.0,SRL_unlock,True,Binary
0.0,SR_loosen,True,Binary
0.0,SR_tighten,False,Binary
0.0,Spd_ActPos_C,169.852,Continuous
0.0,Spd_ActPos_X,150.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002403_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.0,WC_inPos,True,Binary
0.11,SL_Yellow,False,Binary
0.192,Prog_CycleTime,19070.272,Counter
0.192,Prog_LineNo,265,Categorical
0.192,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|265,Categorical
0.592,Prog_Name,TOOL_LIFETIME_SPF,Categorical
0.592,Prog_Name_LineNo,TOOL_LIFETIME_SPF|265,Categorical
0.792,Prog_LineNo,113,Categorical
0.792,Prog_Name_LineNo,TOOL_LIFETIME_SPF|113,Categorical
1.192,Prog_CycleTime,19071.272,Counter
1.492,Prog_LineNo,40,Categorical
1.492,Prog_Name,READ_DATA_SPF,Categorical
1.492,Prog_Name_LineNo,READ_DATA_SPF|40,Categorical
2.191,Prog_CycleTime,19072.272,Counter
3.191,Prog_CycleTime,19073.272,Counter
3.931,HP_Pump_isOff,True,Binary
4.029,SL_Yellow,True,Binary
4.191,Prog_CycleTime,19074.272,Counter
4.751,M_Lifebit,False,Binary
5.191,Prog_CycleTime,19075.272,Counter
5.229,SL_Yellow,False,Binary
6.065,M_Lifebit,True,Binary
6.191,Prog_CycleTime,19076.272,Counter
6.607,M_Lifebit,False,Binary
7.191,Prog_CycleTime,19077.272,Counter
8.137,M_Lifebit,True,Binary
8.191,Prog_CycleTime,19078.272,Counter
9.191,Prog_CycleTime,19079.272,Counter
10.19,Prog_CycleTime,19080.272,Counter
11.191,Prog_CycleTime,19081.272,Counter
12.016,Hyd_Valve_P_Up,True,Binary
12.19,Prog_CycleTime,19082.272,Counter
13.19,Prog_CycleTime,19083.272,Counter
13.19,Spd_ActPos_C,169.851,Continuous
13.27,Hyd_Valve_P_Up,False,Binary
14.19,Prog_CycleTime,19084.272,Counter
15.19,Prog_CycleTime,19085.272,Counter
16.291,Prog_CycleTime,19086.372,Counter
17.19,Prog_CycleTime,19087.272,Counter
18.19,Prog_CycleTime,19088.272,Counter
19.19,Prog_CycleTime,19089.272,Counter
20.19,Prog_CycleTime,19090.272,Counter
20.19,Spd_ActPos_C,169.852,Continuous
21.189,Prog_CycleTime,19091.272,Counter
22.189,Prog_CycleTime,19092.272,Counter
23.189,Prog_CycleTime,19093.272,Counter
23.707,M_Lifebit,False,Binary
24.189,Prog_CycleTime,19094.272,Counter
25.189,Prog_CycleTime,19095.272,Counter
26.189,Prog_CycleTime,19096.272,Counter
26.257,M_Lifebit,True,Binary
27.289,Prog_CycleTime,19097.372,Counter
28.189,Prog_CycleTime,19098.272,Counter
28.675,M_Lifebit,False,Binary
29.188,Prog_CycleTime,19099.272,Counter
30.165,M_Lifebit,True,Binary
30.189,Spd_ActPos_C,169.851,Continuous
30.289,Prog_CycleTime,19100.372,Counter
31.289,Prog_CycleTime,19101.372,Counter
32.288,Prog_CycleTime,19102.372,Counter
32.748,M_Lifebit,False,Binary
33.291,Prog_CycleTime,19103.372,Counter
34.23,M_Lifebit,True,Binary
34.288,Prog_CycleTime,19104.372,Counter
34.288,Prog_LineNo,-2,Categorical
34.288,Prog_Name,CALCULATE_SPF,Categorical
34.288,Prog_Name_LineNo,CALCULATE_SPF|-2,Categorical
34.848,Hyd_Valve_P_Up,True,Binary
34.988,Prog_LineNo,58,Categorical
34.988,Prog_Name,REV_LOAD_MASTER_SPF,Categorical
34.988,Prog_Name_LineNo,REV_LOAD_MASTER_SPF|58,Categorical
35.034,SL_Yellow,True,Binary
35.288,Prog_CycleTime,19105.372,Counter
35.758,SL_Yellow,False,Binary
36.236,Hyd_Valve_P_Up,False,Binary
36.288,Prog_CycleTime,19106.372,Counter
37.288,Prog_CycleTime,19107.372,Counter
37.288,Spd_ActPos_C,169.852,Continuous
40.287,Prog_CycleTime,19110.372,Counter
41.287,Prog_CycleTime,19111.372,Counter
42.287,Prog_CycleTime,19112.372,Counter
43.287,Prog_CycleTime,19113.372,Counter
43.987,Spd_ActPos_C,169.851,Continuous
44.287,Prog_CycleTime,19114.372,Counter
45.287,Prog_CycleTime,19115.372,Counter
46.287,Prog_CycleTime,19116.372,Counter
47.286,Prog_CycleTime,19117.372,Counter
47.705,M_Lifebit,False,Binary
48.286,Prog_CycleTime,19118.372,Counter
49.218,M_Lifebit,True,Binary
49.286,Prog_CycleTime,19119.372,Counter
50.286,Prog_CycleTime,19120.372,Counter
50.586,M_PowerOnDuration,67941.0,Counter
51.286,Prog_CycleTime,19121.372,Counter
52.286,Prog_CycleTime,19122.372,Counter
53.286,Prog_CycleTime,19123.372,Counter
54.286,Prog_CycleTime,19124.372,Counter
55.286,Prog_CycleTime,19125.372,Counter
55.656,M_Lifebit,False,Binary
56.285,Prog_CycleTime,19126.372,Counter
57.272,M_Lifebit,True,Binary
57.285,Prog_CycleTime,19127.372,Counter
57.689,Hyd_Valve_P_Up,True,Binary
58.285,Prog_CycleTime,19128.372,Counter
59.049,Hyd_Valve_P_Up,False,Binary
59.285,Prog_CycleTime,19129.372,Counter
60.285,Prog_CycleTime,19130.372,Counter
61.285,Prog_CycleTime,19131.372,Counter
62.285,Prog_CycleTime,19132.372,Counter
63.285,Prog_CycleTime,19133.372,Counter
64.285,Prog_CycleTime,19134.372,Counter
64.295,SL_Yellow,True,Binary
65.149,SL_Yellow,False,Binary
65.284,Prog_CycleTime,19135.372,Counter
66.03,SL_Yellow,True,Binary
66.284,Prog_CycleTime,19136.372,Counter
67.25,SL_Yellow,False,Binary
67.285,Prog_CycleTime,19137.372,Counter
68.284,Prog_CycleTime,19138.372,Counter
68.284,Spd_ActPos_C,169.852,Continuous
68.31,SL_Yellow,True,Binary
69.124,SL_Yellow,False,Binary
69.284,Prog_CycleTime,19139.372,Counter
69.284,Spd_ActPos_C,169.851,Continuous
70.284,Prog_CycleTime,19140.372,Counter
71.284,Prog_CycleTime,19141.372,Counter
72.284,Prog_CycleTime,19142.372,Counter
72.284,Spd_ActPos_C,169.852,Continuous
72.318,SL_Yellow,True,Binary
73.076,SL_Yellow,False,Binary
73.284,Prog_CycleTime,19143.372,Counter
74.283,Prog_CycleTime,19144.372,Counter
74.283,Spd_ActPos_C,169.851,Continuous
75.283,Prog_CycleTime,19145.372,Counter
75.288,SL_Yellow,True,Binary
75.763,SL_Yellow,False,Binary
76.284,Prog_CycleTime,19146.372,Counter
77.283,Prog_CycleTime,19147.372,Counter
77.283,Prog_LineNo,31,Categorical
77.283,Prog_Name,MAIN_CH1_MPF,Categorical
77.283,Prog_Name_LineNo,MAIN_CH1_MPF|31,Categorical
77.983,Prog_LineNo,6,Categorical
77.983,Prog_Name,CONVBELT_TR_ANF_SPF,Categorical
77.983,Prog_Name_LineNo,CONVBELT_TR_ANF_SPF|6,Categorical
78.01,CBC_close,False,Binary
78.065,CBC_open,True,Binary
78.283,Prog_CycleTime,19148.372,Counter
78.356,CBC_Closed,False,Binary
78.683,Prog_Name,LOAD_CLMP_HEAD_SPF,Categorical
78.683,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|6,Categorical
78.975,M_WarnActive,False,Binary
79.183,Prog_LineNo,183,Categorical
79.183,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|183,Categorical
79.211,CBC_isOpen,True,Binary
79.283,Prog_CycleTime,19149.372,Counter
79.283,Spd_ActPos_C,169.852,Continuous
79.383,Spd_ActPos_C,169.851,Continuous
80.283,Prog_CycleTime,19150.372,Counter
80.697,Hyd_Valve_P_Up,True,Binary
81.283,Prog_CycleTime,19151.372,Counter
81.283,Spd_ActPos_C,169.852,Continuous
82.027,Hyd_Valve_P_Up,False,Binary
82.283,Prog_CycleTime,19152.372,Counter
83.282,Prog_CycleTime,19153.372,Counter
84.282,Prog_CycleTime,19154.372,Counter
85.282,Prog_CycleTime,19155.372,Counter
86.282,Prog_CycleTime,19156.372,Counter
87.282,Prog_CycleTime,19157.372,Counter
88.282,Prog_CycleTime,19158.372,Counter
89.282,Prog_CycleTime,19159.372,Counter
90.282,Prog_CycleTime,19160.372,Counter
90.282,Spd_ActPos_C,169.851,Continuous
91.182,Spd_ActPos_C,169.852,Continuous
91.282,Prog_CycleTime,19161.372,Counter
91.981,Prog_LineNo,184,Categorical
91.981,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|184,Categorical
92.066,WCL_toInitPos,False,Binary
92.156,WCL_toWorkPos,True,Binary
92.281,Prog_CycleTime,19162.372,Counter
92.29,WCL_InitPos,False,Binary
92.514,WCL_WorkPos,True,Binary
92.66,WCL_Locked,True,Binary
92.682,WCL_Unlocked,False,Binary
92.882,Prog_LineNo,195,Categorical
92.882,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|195,Categorical
93.082,Spd_ActPos_C,31.14,Continuous
93.181,Spd_ActSpeed_X,36000.0,Continuous
93.281,Prog_CycleTime,19163.372,Counter
93.281,Spd_ActPos_X,332.4,Continuous
94.181,Spd_ActPos_X,749.25,Continuous
94.181,Spd_ActSpeed_X,0.0,Continuous
94.281,Prog_CycleTime,19164.372,Counter
94.281,Prog_LineNo,202,Categorical
94.281,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|202,Categorical
94.281,Spd_ActPos_Z,486.357,Continuous
94.281,Spd_ActSpeed_Z,-16500.0,Continuous
94.681,Prog_LineNo,208,Categorical
94.681,Prog_Name_LineNo,LOAD_CLMP_HEAD_SPF|208,Categorical
95.281,Prog_CycleTime,19165.372,Counter
95.281,Spd_ActPos_Z,336.165,Continuous
95.281,Spd_ActSpeed_Z,-2012.512,Continuous
96.281,Prog_CycleTime,19166.372,Counter
96.281,Spd_ActPos_Z,307.64,Continuous
96.281,Spd_ActSpeed_Z,-1444.11,Continuous
