time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,CLF_A_700307,False,Alarm
0.0,CLF_Filter_Ok,True,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,F_A_700313,False,Alarm
0.0,F_Filter_Ok,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_A_700301,False,Alarm
0.0,LP_Pump_Ok,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,True,Binary
0.0,M_PowerOnDuration,275.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,129104.68,Counter
0.0,Prog_CycleTime,0.772,Counter
0.0,Prog_LineNo,197,Categorical
0.0,Prog_Name,HOME_CH1_SPF,Categorical
0.0,Prog_Name_LineNo,HOME_CH1_SPF|197,Categorical
0.0,SL_Green,True,Binary
0.0,SL_Red,False,Binary
0.0,SRL_Locked,True,Binary
0.0,SRL_Unlocked,False,Binary
0.0,SRL_unlock,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,194.771,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002474_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.446,Prog_LineNo,33,Categorical
0.446,Prog_Name,READ_DATA_SPF,Categorical
0.446,Prog_Name_LineNo,READ_DATA_SPF|33,Categorical
0.646,Prog_CycleTime,1.698,Counter
1.646,Prog_CycleTime,2.698,Counter
1.646,Prog_LineNo,11,Categorical
1.646,Prog_Name,LOAD_RT_TEST_SPF,Categorical
1.646,Prog_Name_LineNo,LOAD_RT_TEST_SPF|11,Categorical
1.745,CBC_close,False,Binary
1.901,CBC_open,True,Binary
1.947,Prog_LineNo,106,Categorical
1.947,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
2.043,CBC_Closed,False,Binary
2.647,Prog_CycleTime,3.698,Counter
2.747,Prog_LineNo,109,Categorical
2.747,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
2.928,CBC_isOpen,True,Binary
3.648,Prog_CycleTime,4.698,Counter
4.649,Prog_CycleTime,5.698,Counter
5.083,WCL_toInitPos,False,Binary
5.215,WCL_toWorkPos,True,Binary
5.225,WCL_InitPos,False,Binary
5.225,WCL_WorkPos,True,Binary
5.45,Prog_LineNo,111,Categorical
5.45,Prog_Name_LineNo,LOAD_RT_TEST_SPF|111,Categorical
5.533,WCL_Unlocked,False,Binary
5.555,WCL_Locked,True,Binary
5.65,Prog_CycleTime,6.698,Counter
6.05,Spd_ActPos_C,31.14,Continuous
6.65,Prog_CycleTime,7.698,Counter
6.65,Prog_LineNo,160,Categorical
6.65,Prog_Name_LineNo,LOAD_RT_TEST_SPF|160,Categorical
6.65,Spd_ActPos_X,612.124,Continuous
7.05,Prog_LineNo,173,Categorical
7.05,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
7.05,Spd_ActSpeed_Z,-2500.0,Continuous
7.651,Prog_CycleTime,8.698,Counter
7.651,Spd_ActPos_Z,397.551,Continuous
8.651,Prog_CycleTime,9.698,Counter
8.651,Spd_ActPos_Z,355.885,Continuous
9.094,ExU_On,True,Binary
9.116,ExU_isOff,False,Binary
9.652,Spd_ActPos_Z,314.218,Continuous
9.752,Prog_CycleTime,10.798,Counter
10.653,Spd_ActPos_Z,272.551,Continuous
10.753,Prog_CycleTime,11.798,Counter
11.054,Prog_LineNo,178,Categorical
11.054,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
11.054,Spd_ActSpeed_Z,-800.0,Continuous
11.754,Prog_CycleTime,12.798,Counter
11.754,Spd_ActPos_Z,249.754,Continuous
12.154,Spd_ActPos_Z,244.786,Continuous
12.154,Spd_ActSpeed_Z,0.0,Continuous
12.254,Prog_LineNo,183,Categorical
12.254,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
12.755,Prog_CycleTime,13.798,Counter
13.455,Prog_LineNo,185,Categorical
13.455,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
13.756,Prog_CycleTime,14.798,Counter
14.656,Prog_LineNo,187,Categorical
14.656,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
14.756,Prog_CycleTime,15.798,Counter
15.757,Prog_CycleTime,16.798,Counter
15.757,Prog_LineNo,190,Categorical
15.757,Prog_Name_LineNo,LOAD_RT_TEST_SPF|190,Categorical
16.441,WCL_Unlocked,True,Binary
16.457,Prog_LineNo,192,Categorical
16.457,Prog_Name_LineNo,LOAD_RT_TEST_SPF|192,Categorical
16.605,WCL_Locked,False,Binary
16.757,Prog_CycleTime,17.798,Counter
16.757,Spd_ActPos_Z,451.355,Continuous
16.757,Spd_ActSpeed_Z,35681.112,Continuous
16.957,Spd_ActPos_Z,495.0,Continuous
16.957,Spd_ActSpeed_Z,0.0,Continuous
17.042,WCL_toWorkPos,False,Binary
17.108,WCL_toInitPos,True,Binary
17.162,WCL_WorkPos,False,Binary
17.466,WCL_InitPos,True,Binary
17.558,Prog_LineNo,222,Categorical
17.558,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
17.674,MPC_close,False,Binary
17.686,MPC_Closed,False,Binary
17.758,Prog_CycleTime,18.798,Counter
17.758,Spd_ActPos_X,551.575,Continuous
17.758,Spd_ActSpeed_X,-29280.0,Continuous
17.796,MPC_open,True,Binary
18.152,MPA_toWorkPos,True,Binary
18.262,CBC_close,True,Binary
18.303,MPA_toInitPos,False,Binary
18.314,MPC_isOpen,True,Binary
18.324,CBC_open,False,Binary
18.359,Spd_ActSpeed_C,-36000.0,Continuous
18.378,MPA_InitPos,False,Binary
18.561,CBC_isOpen,False,Binary
18.659,Spd_ActPos_X,150.0,Continuous
18.659,Spd_ActSpeed_X,0.0,Continuous
18.759,Prog_CycleTime,19.798,Counter
18.759,Prog_LineNo,-2,Categorical
18.759,Prog_Name,CHK_RT_SPF,Categorical
18.759,Prog_Name_LineNo,CHK_RT_SPF|-2,Categorical
18.759,Spd_ActPos_C,75.276,Continuous
19.147,MPA_WorkPos,True,Binary
19.16,T_ActToolIdent,3D_PROBE,Categorical
19.321,T_A_701309,True,Alarm
19.337,CBC_Closed,True,Binary
19.337,MP_Inactive,False,Binary
19.459,Spd_ActPos_C,0.0,Continuous
19.459,Spd_ActSpeed_C,0.0,Continuous
19.76,Prog_CycleTime,20.798,Counter
19.76,Prog_LineNo,12,Categorical
19.76,Prog_Name,REV_POS_MS_CHECK_SPF,Categorical
19.76,Prog_Name_LineNo,REV_POS_MS_CHECK_SPF|12,Categorical
19.948,TL_lock,False,Binary
20.66,Prog_Name,RUN_MEAS_SPF,Categorical
20.66,Prog_Name_LineNo,RUN_MEAS_SPF|12,Categorical
20.76,Prog_CycleTime,21.798,Counter
20.76,Prog_LineNo,91,Categorical
20.76,Prog_Name_LineNo,RUN_MEAS_SPF|91,Categorical
20.76,Spd_ActPos_X,149.279,Continuous
20.76,Spd_ActSpeed_X,-1692.0,Continuous
20.857,TL_lock,True,Binary
21.26,Prog_LineNo,93,Categorical
21.26,Prog_Name_LineNo,RUN_MEAS_SPF|93,Categorical
21.26,Spd_ActPos_X,119.9,Continuous
21.26,Spd_ActSpeed_X,0.0,Continuous
21.361,Spd_ActSpeed_Z,-5400.0,Continuous
21.761,Prog_CycleTime,22.798,Counter
21.761,Spd_ActPos_Z,449.958,Continuous
21.961,Prog_LineNo,94,Categorical
21.961,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
21.961,Spd_ActSpeed_Z,-1000.0,Continuous
22.761,Prog_CuttingTime,129105.552,Counter
22.761,Prog_CycleTime,23.798,Counter
22.761,Spd_ActPos_Z,430.014,Continuous
23.262,Spd_ActPos_Z,423.365,Continuous
23.262,Spd_ActSpeed_Z,0.0,Continuous
23.362,Prog_LineNo,115,Categorical
23.362,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
23.362,Spd_ActSpeed_X,100.0,Continuous
23.762,Prog_CuttingTime,129106.422,Counter
23.762,Prog_CycleTime,24.798,Counter
23.762,Spd_ActPos_X,121.156,Continuous
24.663,Prog_LineNo,126,Categorical
24.663,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
24.663,Spd_ActSpeed_X,-500.0,Continuous
24.763,Prog_CuttingTime,129107.37,Counter
24.763,Prog_CycleTime,25.798,Counter
24.763,Spd_ActPos_X,121.006,Continuous
25.063,Prog_LineNo,115,Categorical
25.063,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
25.063,Spd_ActPos_C,72.0,Continuous
25.163,Spd_ActSpeed_X,100.0,Continuous
25.764,Prog_CuttingTime,129108.332,Counter
25.764,Prog_CycleTime,26.798,Counter
25.764,Spd_ActPos_X,121.57,Continuous
26.664,Prog_LineNo,114,Categorical
26.664,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
26.664,Spd_ActPos_X,120.4,Continuous
26.664,Spd_ActSpeed_X,0.0,Continuous
26.764,Prog_CuttingTime,129109.252,Counter
26.764,Prog_CycleTime,27.798,Counter
26.764,Spd_ActPos_C,139.673,Continuous
26.764,Spd_ActSpeed_C,21836.875,Continuous
26.864,Prog_LineNo,115,Categorical
26.864,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
26.864,Spd_ActPos_C,144.0,Continuous
26.864,Spd_ActSpeed_C,0.0,Continuous
26.864,Spd_ActSpeed_X,100.0,Continuous
27.766,Prog_CuttingTime,129110.242,Counter
27.766,Prog_CycleTime,28.798,Counter
27.766,Spd_ActPos_X,121.98,Continuous
28.566,Spd_ActPos_C,216.0,Continuous
28.766,Prog_CuttingTime,129111.152,Counter
28.766,Prog_CycleTime,29.798,Counter
28.766,Spd_ActPos_X,120.73,Continuous
29.766,Prog_CuttingTime,129112.152,Counter
29.766,Prog_CycleTime,30.798,Counter
29.766,Spd_ActPos_X,122.397,Continuous
30.267,M_PowerOnDuration,276.0,Counter
30.367,Spd_ActPos_C,288.0,Continuous
30.767,Prog_CuttingTime,129113.062,Counter
30.767,Prog_CycleTime,31.798,Counter
30.767,Spd_ActPos_X,121.14,Continuous
31.668,Prog_LineNo,126,Categorical
31.668,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
31.668,Spd_ActSpeed_X,-500.0,Continuous
31.768,Prog_CuttingTime,129114.01,Counter
31.768,Prog_CycleTime,32.798,Counter
31.768,Spd_ActPos_X,121.11,Continuous
31.868,Prog_CuttingTime,129114.108,Counter
31.868,Spd_ActPos_X,120.4,Continuous
31.868,Spd_ActSpeed_X,0.0,Continuous
32.268,Spd_ActPos_Z,444.365,Continuous
32.768,Prog_CycleTime,33.798,Counter
32.768,Prog_LineNo,703,Categorical
32.768,Prog_Name,TOOL_CALL_SPF,Categorical
32.768,Prog_Name_LineNo,TOOL_CALL_SPF|703,Categorical
33.069,Prog_Name,PROBE_Z_SPF,Categorical
33.069,Prog_Name_LineNo,PROBE_Z_SPF|703,Categorical
33.269,Spd_ActPos_C,0.0,Continuous
33.269,Spd_ActPos_X,128.382,Continuous
33.469,Prog_LineNo,94,Categorical
33.469,Prog_Name_LineNo,PROBE_Z_SPF|94,Categorical
33.469,Spd_ActSpeed_Z,-100.0,Continuous
33.769,Prog_CuttingTime,129114.558,Counter
33.769,Prog_CycleTime,34.798,Counter
33.769,Spd_ActPos_Z,438.315,Continuous
34.77,Prog_CuttingTime,129115.558,Counter
