time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,True,Binary
0.0,ExU_isOff,False,Binary
0.0,HP_Pump_isOff,False,Binary
0.0,Hyd_A_700202,False,Alarm
0.0,Hyd_IsEnabled,True,Binary
0.0,Hyd_Pressure,10000,Continuous
0.0,Hyd_Pump_On,True,Binary
0.0,Hyd_Pump_isOff,False,Binary
0.0,Hyd_Valve_P_Up,False,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,False,Binary
0.0,M_PowerOnDuration,6.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_CuttingTime,139671.5,Counter
0.0,Prog_CycleTime,33.796,Counter
0.0,Prog_LineNo,202,Categorical
0.0,Prog_Name,HOME_CH1_SPF,Categorical
0.0,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
0.0,SL_Green,True,Binary
0.0,SL_Red,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,SR_tighten,True,Binary
0.0,Spd_ActPos_C,10.377,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002474_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.712,M_Lifebit,True,Binary
0.922,Prog_CycleTime,34.796,Counter
1.923,Prog_CycleTime,35.796,Counter
2.361,M_Lifebit,False,Binary
2.924,Prog_CycleTime,36.796,Counter
3.849,M_Lifebit,True,Binary
3.925,Prog_CycleTime,37.796,Counter
4.926,Prog_CycleTime,38.796,Counter
5.926,Prog_CycleTime,39.796,Counter
6.927,Prog_CycleTime,40.796,Counter
7.386,M_Lifebit,False,Binary
7.928,Prog_CycleTime,41.796,Counter
8.895,M_Lifebit,True,Binary
8.929,Prog_CycleTime,42.796,Counter
9.93,Prog_CycleTime,43.796,Counter
10.436,Prog_Name,READ_DATA_SPF,Categorical
10.436,Prog_Name_LineNo,READ_DATA_SPF|202,Categorical
10.937,Prog_CycleTime,44.802,Counter
10.937,Prog_LineNo,138,Categorical
10.937,Prog_Name_LineNo,READ_DATA_SPF|138,Categorical
11.031,HP_Pump_isOff,True,Binary
11.347,M_Lifebit,False,Binary
11.764,CBC_open,True,Binary
11.785,CBC_close,False,Binary
11.941,Prog_CycleTime,45.802,Counter
11.941,Prog_LineNo,106,Categorical
11.941,Prog_Name,LOAD_RT_TEST_SPF,Categorical
11.941,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
11.977,CBC_Closed,False,Binary
12.638,Prog_LineNo,109,Categorical
12.638,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
12.902,CBC_isOpen,True,Binary
12.938,Prog_CycleTime,46.802,Counter
13.881,M_Lifebit,True,Binary
13.939,Prog_CycleTime,47.802,Counter
14.94,Prog_CycleTime,48.802,Counter
14.94,Prog_LineNo,110,Categorical
14.94,Prog_Name_LineNo,LOAD_RT_TEST_SPF|110,Categorical
14.962,WCL_InitPos,False,Binary
15.124,WCL_toInitPos,False,Binary
15.136,WCL_toWorkPos,True,Binary
15.266,WCL_WorkPos,True,Binary
15.526,WCL_Unlocked,False,Binary
15.669,WCL_Locked,True,Binary
15.74,Prog_LineNo,159,Categorical
15.74,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
15.84,Spd_ActPos_C,31.14,Continuous
15.941,Prog_CycleTime,49.802,Counter
15.941,Spd_ActPos_X,342.469,Continuous
15.941,Spd_ActSpeed_X,24480.0,Continuous
16.355,M_Lifebit,False,Binary
16.641,Spd_ActPos_X,612.124,Continuous
16.641,Spd_ActSpeed_X,0.0,Continuous
16.941,Prog_CycleTime,50.802,Counter
16.941,Prog_LineNo,173,Categorical
16.941,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
16.941,Spd_ActPos_Z,424.853,Continuous
16.941,Spd_ActSpeed_Z,-768.0,Continuous
17.042,Spd_ActSpeed_Z,-2500.0,Continuous
17.89,M_Lifebit,True,Binary
17.943,Prog_CycleTime,51.802,Counter
17.943,Spd_ActPos_Z,383.385,Continuous
18.943,Prog_CycleTime,52.802,Counter
18.943,Spd_ActPos_Z,341.718,Continuous
19.544,M_PowerOnDuration,7.0,Counter
19.944,Prog_CycleTime,53.802,Counter
19.944,Spd_ActPos_Z,300.051,Continuous
20.382,M_Lifebit,False,Binary
20.945,Prog_CycleTime,54.802,Counter
20.945,Prog_LineNo,178,Categorical
20.945,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
20.945,Spd_ActPos_Z,259.785,Continuous
20.945,Spd_ActSpeed_Z,-12.0,Continuous
21.045,Spd_ActSpeed_Z,-800.0,Continuous
21.903,M_Lifebit,True,Binary
21.945,Prog_CycleTime,55.802,Counter
21.945,Spd_ActPos_Z,246.554,Continuous
22.145,Prog_LineNo,183,Categorical
22.145,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
22.145,Spd_ActPos_Z,244.786,Continuous
22.145,Spd_ActSpeed_Z,0.0,Continuous
22.266,M_Lifebit,False,Binary
22.946,Prog_CycleTime,56.802,Counter
23.447,Prog_LineNo,185,Categorical
23.447,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
23.881,M_Lifebit,True,Binary
23.947,Prog_CycleTime,57.802,Counter
24.648,Prog_LineNo,187,Categorical
24.648,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
24.948,Prog_CycleTime,58.802,Counter
25.748,Prog_LineNo,190,Categorical
25.748,Prog_Name_LineNo,LOAD_RT_TEST_SPF|190,Categorical
25.949,Prog_CycleTime,59.802,Counter
26.399,M_Lifebit,False,Binary
26.571,WCL_Unlocked,True,Binary
26.613,WCL_Locked,False,Binary
26.949,Prog_CycleTime,60.802,Counter
26.949,Prog_LineNo,196,Categorical
26.949,Prog_Name_LineNo,LOAD_RT_TEST_SPF|196,Categorical
26.949,Spd_ActPos_Z,495.0,Continuous
27.055,WCL_toWorkPos,False,Binary
27.12,WCL_WorkPos,False,Binary
27.16,WCL_toInitPos,True,Binary
27.442,WCL_InitPos,True,Binary
27.55,Prog_LineNo,222,Categorical
27.55,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
27.604,MPC_open,True,Binary
27.734,MPC_close,False,Binary
27.83,MPC_Closed,False,Binary
27.85,Spd_ActSpeed_X,-36000.0,Continuous
27.95,Prog_CycleTime,61.802,Counter
27.95,Spd_ActPos_X,423.724,Continuous
28.1,MPA_InitPos,False,Binary
28.113,MPC_isOpen,True,Binary
28.221,CBC_close,True,Binary
28.221,MPA_toWorkPos,True,Binary
28.303,Spd_ActSpeed_C,-36000.0,Continuous
28.312,MPA_toInitPos,False,Binary
28.351,CBC_open,False,Binary
28.385,CBC_isOpen,False,Binary
28.604,Spd_ActPos_X,150.0,Continuous
28.604,Spd_ActSpeed_X,0.0,Continuous
28.803,Prog_Name,CHK_RT_SPF,Categorical
28.803,Prog_Name_LineNo,CHK_RT_SPF|222,Categorical
28.905,Prog_CycleTime,62.754,Counter
28.905,Prog_LineNo,40,Categorical
28.905,Prog_Name_LineNo,CHK_RT_SPF|40,Categorical
28.905,Spd_ActPos_C,333.276,Continuous
29.156,CBC_Closed,True,Binary
29.203,T_ActToolIdent,3D_PROBE,Categorical
29.265,MP_Inactive,False,Binary
29.275,MPA_WorkPos,True,Binary
29.309,T_A_701309,True,Alarm
29.504,Spd_ActPos_C,0.0,Continuous
29.504,Spd_ActSpeed_C,0.0,Continuous
29.792,Prog_LineNo,-2,Categorical
29.792,Prog_Name,REV_POS_MS_CHECK_SPF,Categorical
29.792,Prog_Name_LineNo,REV_POS_MS_CHECK_SPF|-2,Categorical
29.874,M_Lifebit,True,Binary
29.892,Prog_CycleTime,63.742,Counter
30.228,M_Lifebit,False,Binary
30.592,Prog_Name,RUN_MEAS_SPF,Categorical
30.592,Prog_Name_LineNo,RUN_MEAS_SPF|-2,Categorical
30.693,Prog_LineNo,91,Categorical
30.693,Prog_Name_LineNo,RUN_MEAS_SPF|91,Categorical
30.893,Prog_CycleTime,64.742,Counter
30.893,Spd_ActPos_X,136.86,Continuous
30.893,Spd_ActSpeed_X,-5400.0,Continuous
31.196,Spd_ActPos_X,119.9,Continuous
31.196,Spd_ActSpeed_X,0.0,Continuous
31.893,Prog_CuttingTime,139671.544,Counter
31.893,Prog_CycleTime,65.742,Counter
31.893,Prog_LineNo,94,Categorical
31.893,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
31.893,Spd_ActPos_Z,443.814,Continuous
31.893,Spd_ActSpeed_Z,-1000.0,Continuous
32.728,M_Lifebit,True,Binary
32.894,Prog_CuttingTime,139672.544,Counter
32.894,Prog_CycleTime,66.742,Counter
32.894,Spd_ActPos_Z,427.147,Continuous
33.195,Spd_ActPos_Z,423.365,Continuous
33.195,Spd_ActSpeed_Z,0.0,Continuous
33.295,Prog_LineNo,115,Categorical
33.295,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
33.295,Spd_ActSpeed_X,100.0,Continuous
33.895,Prog_CuttingTime,139673.414,Counter
33.895,Prog_CycleTime,67.742,Counter
33.895,Spd_ActPos_X,121.443,Continuous
34.896,Prog_CuttingTime,139674.332,Counter
34.896,Prog_CycleTime,68.742,Counter
34.896,Prog_LineNo,114,Categorical
34.896,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
34.896,Spd_ActPos_C,18.886,Continuous
34.896,Spd_ActPos_X,120.4,Continuous
34.896,Spd_ActSpeed_C,41835.882,Continuous
34.896,Spd_ActSpeed_X,0.0,Continuous
35.096,Prog_LineNo,115,Categorical
35.096,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
35.096,Spd_ActPos_C,72.0,Continuous
35.096,Spd_ActSpeed_C,0.0,Continuous
35.096,Spd_ActSpeed_X,100.0,Continuous
35.897,Prog_CuttingTime,139675.322,Counter
35.897,Prog_CycleTime,69.742,Counter
35.897,Spd_ActPos_X,121.863,Continuous
36.799,Spd_ActPos_C,144.0,Continuous
36.897,Prog_CuttingTime,139676.232,Counter
36.897,Prog_CycleTime,70.742,Counter
36.897,Spd_ActPos_X,120.606,Continuous
37.404,M_Lifebit,False,Binary
37.898,Prog_CuttingTime,139677.232,Counter
37.898,Prog_CycleTime,71.742,Counter
37.898,Spd_ActPos_X,122.273,Continuous
38.607,Spd_ActPos_C,216.0,Continuous
38.899,Prog_CuttingTime,139678.142,Counter
38.899,Prog_CycleTime,72.742,Counter
38.899,Spd_ActPos_X,121.02,Continuous
38.913,M_Lifebit,True,Binary
39.9,Prog_CuttingTime,139679.09,Counter
39.9,Prog_CycleTime,73.742,Counter
39.9,Prog_LineNo,126,Categorical
39.9,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
39.9,Spd_ActPos_X,121.69,Continuous
39.9,Spd_ActSpeed_X,-500.0,Continuous
40.3,Prog_LineNo,115,Categorical
40.3,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
40.3,Spd_ActPos_C,288.0,Continuous
40.3,Spd_ActSpeed_X,100.0,Continuous
40.362,M_Lifebit,False,Binary
40.901,Prog_CuttingTime,139680.052,Counter
40.901,Prog_CycleTime,74.742,Counter
40.901,Spd_ActPos_X,121.433,Continuous
41.771,M_Lifebit,True,Binary
41.901,Prog_CuttingTime,139680.92,Counter
41.901,Prog_CycleTime,75.742,Counter
41.901,Prog_LineNo,156,Categorical
41.901,Prog_Name_LineNo,RUN_MEAS_SPF|156,Categorical
41.901,Spd_ActPos_X,120.4,Continuous
