time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_A_701124,False,Alarm
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_Lifebit,True,Binary
0.0,M_PowerOnDuration,6.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,134689.65,Counter
0.0,Prog_CycleTime,0.086,Counter
0.0,Prog_LineNo,0,Categorical
0.0,Prog_Name,MAIN_CH1_MPF,Categorical
0.0,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
0.0,SL_Green,False,Binary
0.0,SL_Red,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,349.143,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002349_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
33.385,Prog_CycleTime,0.084,Counter
34.003,M_Lifebit,False,Binary
34.289,SL_Green,True,Binary
34.522,Prog_Name,HOME_CH1_SPF,Categorical
34.522,Prog_Name_LineNo,HOME_CH1_SPF|0,Categorical
34.622,Prog_LineNo,125,Categorical
34.622,Prog_Name_LineNo,HOME_CH1_SPF|125,Categorical
34.638,SL_Red,True,Binary
34.722,Prog_CycleTime,0.44,Counter
34.842,SR_A_67040,True,Alarm
34.992,SL_Red,False,Binary
35.067,SR_A_67040,False,Alarm
35.456,Prog_A_701330,True,Alarm
35.498,M_Lifebit,True,Binary
35.588,Prog_A_701330,False,Alarm
35.651,Prog_Name,DATA_RESET_SPF,Categorical
35.651,Prog_Name_LineNo,DATA_RESET_SPF|125,Categorical
35.743,Prog_CycleTime,1.46,Counter
35.743,Prog_LineNo,174,Categorical
35.743,Prog_Name_LineNo,DATA_RESET_SPF|174,Categorical
36.343,Prog_Name,ASSIGN_SPF,Categorical
36.343,Prog_Name_LineNo,ASSIGN_SPF|174,Categorical
36.743,Prog_CycleTime,2.46,Counter
36.743,Prog_LineNo,199,Categorical
36.743,Prog_Name_LineNo,ASSIGN_SPF|199,Categorical
37.117,CBC_close,False,Binary
37.226,CBC_Closed,False,Binary
37.236,CBC_open,True,Binary
37.246,Prog_Name,LOAD_RT_TEST_SPF,Categorical
37.246,Prog_Name_LineNo,LOAD_RT_TEST_SPF|199,Categorical
37.344,Prog_LineNo,106,Categorical
37.344,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
37.744,Prog_CycleTime,3.46,Counter
38.044,Prog_LineNo,109,Categorical
38.044,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
38.122,CBC_isOpen,True,Binary
38.745,Prog_CycleTime,4.46,Counter
39.745,Prog_CycleTime,5.46,Counter
40.502,WCL_WorkPos,True,Binary
40.522,WCL_toInitPos,False,Binary
40.544,WCL_toWorkPos,True,Binary
40.564,WCL_InitPos,False,Binary
40.746,Prog_CycleTime,6.46,Counter
40.746,Prog_LineNo,111,Categorical
40.746,Prog_Name_LineNo,LOAD_RT_TEST_SPF|111,Categorical
40.908,WCL_Unlocked,False,Binary
40.943,WCL_Locked,True,Binary
41.147,Prog_LineNo,159,Categorical
41.147,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
41.247,Spd_ActPos_C,31.14,Continuous
41.747,Prog_CycleTime,7.46,Counter
41.747,Spd_ActPos_X,583.797,Continuous
41.747,Spd_ActSpeed_X,20424.8,Continuous
41.948,Spd_ActPos_X,612.124,Continuous
41.948,Spd_ActSpeed_X,0.0,Continuous
42.348,Prog_LineNo,173,Categorical
42.348,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
42.348,Spd_ActSpeed_Z,-2500.0,Continuous
42.748,Prog_CycleTime,8.46,Counter
42.748,Spd_ActPos_Z,406.468,Continuous
42.948,Prog_Name,MAIN_CH1_MPF,Categorical
42.948,Prog_Name_LineNo,MAIN_CH1_MPF|173,Categorical
42.948,Spd_ActPos_Z,401.283,Continuous
42.948,Spd_ActSpeed_Z,0.0,Continuous
43.148,Prog_CycleTime,0.092,Counter
43.148,Prog_LineNo,0,Categorical
43.148,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
43.34,SL_Green,False,Binary
47.141,M_PowerOnDuration,7.0,Counter
52.3,Prog_CycleTime,0.094,Counter
53.308,Prog_CycleTime,0.084,Counter
54.156,SL_Green,True,Binary
54.252,Prog_CycleTime,0.086,Counter
54.795,SL_Green,False,Binary
65.423,Prog_Name,HOME_CH1_SPF,Categorical
65.423,Prog_Name_LineNo,HOME_CH1_SPF|0,Categorical
65.723,Prog_CycleTime,0.492,Counter
65.723,Prog_LineNo,126,Categorical
65.723,Prog_Name_LineNo,HOME_CH1_SPF|126,Categorical
65.789,SR_A_67040,True,Alarm
65.824,Prog_LineNo,127,Categorical
65.824,Prog_Name_LineNo,HOME_CH1_SPF|127,Categorical
65.824,Spd_ActSpeed_Z,5000.0,Continuous
65.936,SL_Green,True,Binary
66.023,SR_A_67040,False,Alarm
66.724,Prog_CycleTime,1.492,Counter
66.724,Spd_ActPos_Z,481.876,Continuous
66.924,Spd_ActPos_Z,495.0,Continuous
66.924,Spd_ActSpeed_Z,0.0,Continuous
67.024,Prog_LineNo,128,Categorical
67.024,Prog_Name_LineNo,HOME_CH1_SPF|128,Categorical
67.024,Spd_ActSpeed_X,-5000.0,Continuous
67.724,Prog_CycleTime,2.492,Counter
67.724,Spd_ActPos_X,549.027,Continuous
68.725,Prog_CycleTime,3.492,Counter
68.725,Spd_ActPos_X,465.694,Continuous
69.726,Prog_CycleTime,4.492,Counter
69.726,Spd_ActPos_X,382.36,Continuous
70.727,Prog_CycleTime,5.492,Counter
70.727,Spd_ActPos_X,300.117,Continuous
70.727,Spd_ActSpeed_X,-1338.964,Continuous
70.827,Spd_ActPos_X,300.0,Continuous
70.827,Spd_ActSpeed_X,0.0,Continuous
71.089,WCL_Locked,False,Binary
71.295,WCL_Unlocked,True,Binary
71.327,Prog_LineNo,196,Categorical
71.327,Prog_Name_LineNo,HOME_CH1_SPF|196,Categorical
71.381,WCL_toInitPos,True,Binary
71.457,WCL_toWorkPos,False,Binary
71.489,WCL_WorkPos,False,Binary
71.728,Prog_CycleTime,6.492,Counter
71.782,WCL_InitPos,True,Binary
71.826,CBC_close,True,Binary
71.828,Prog_LineNo,198,Categorical
71.828,Prog_Name_LineNo,HOME_CH1_SPF|198,Categorical
71.91,CBC_open,False,Binary
71.944,CBC_isOpen,False,Binary
72.728,Prog_CycleTime,7.492,Counter
72.818,CBC_Closed,True,Binary
72.828,Prog_LineNo,202,Categorical
72.828,Prog_Name_LineNo,HOME_CH1_SPF|202,Categorical
73.092,Prog_A_701330,True,Alarm
73.729,Prog_CycleTime,8.492,Counter
74.154,Prog_A_701330,False,Alarm
74.236,Prog_Name,READ_DATA_SPF,Categorical
74.236,Prog_Name_LineNo,READ_DATA_SPF|202,Categorical
74.736,Prog_CycleTime,9.498,Counter
74.736,Prog_LineNo,125,Categorical
74.736,Prog_Name_LineNo,READ_DATA_SPF|125,Categorical
75.308,ExU_On,True,Binary
75.605,ExU_isOff,False,Binary
75.707,CBC_Closed,False,Binary
75.717,CBC_close,False,Binary
75.737,Prog_CycleTime,10.498,Counter
75.737,Prog_LineNo,105,Categorical
75.737,Prog_Name,LOAD_RT_TEST_SPF,Categorical
75.737,Prog_Name_LineNo,LOAD_RT_TEST_SPF|105,Categorical
75.891,CBC_open,True,Binary
76.529,WCL_toWorkPos,True,Binary
76.537,Prog_LineNo,110,Categorical
76.537,Prog_Name_LineNo,LOAD_RT_TEST_SPF|110,Categorical
76.659,WCL_toInitPos,False,Binary
76.669,CBC_isOpen,True,Binary
76.737,Prog_CycleTime,11.498,Counter
76.785,WCL_InitPos,False,Binary
76.785,WCL_WorkPos,True,Binary
77.134,WCL_Locked,True,Binary
77.146,WCL_Unlocked,False,Binary
77.338,Prog_LineNo,159,Categorical
77.338,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
77.638,Spd_ActSpeed_X,36000.0,Continuous
77.739,Prog_CycleTime,12.498,Counter
77.739,Spd_ActPos_X,460.8,Continuous
78.239,Spd_ActPos_X,612.124,Continuous
78.239,Spd_ActSpeed_X,0.0,Continuous
78.539,Prog_LineNo,173,Categorical
78.539,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
78.639,Spd_ActSpeed_Z,-2500.0,Continuous
78.739,Prog_CycleTime,13.498,Counter
78.739,Spd_ActPos_Z,415.968,Continuous
79.74,Prog_CycleTime,14.498,Counter
79.74,Spd_ActPos_Z,374.301,Continuous
80.74,Prog_CycleTime,15.498,Counter
80.74,Spd_ActPos_Z,332.635,Continuous
81.741,Prog_CycleTime,16.498,Counter
81.741,Spd_ActPos_Z,290.968,Continuous
82.542,Prog_LineNo,178,Categorical
82.542,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
82.642,Spd_ActSpeed_Z,-800.0,Continuous
82.742,Prog_CycleTime,17.498,Counter
82.742,Spd_ActPos_Z,256.98,Continuous
83.743,Prog_CycleTime,18.498,Counter
83.743,Prog_LineNo,183,Categorical
83.743,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
83.743,Spd_ActPos_Z,244.786,Continuous
83.743,Spd_ActSpeed_Z,0.0,Continuous
84.744,Prog_CycleTime,19.498,Counter
84.744,Prog_LineNo,184,Categorical
84.744,Prog_Name_LineNo,LOAD_RT_TEST_SPF|184,Categorical
85.048,Prog_LineNo,185,Categorical
85.048,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
85.744,Prog_CycleTime,20.498,Counter
86.245,Prog_LineNo,187,Categorical
86.245,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
86.745,Prog_CycleTime,21.498,Counter
87.646,Prog_LineNo,191,Categorical
87.646,Prog_Name_LineNo,LOAD_RT_TEST_SPF|191,Categorical
87.646,Spd_ActSpeed_Z,10000.0,Continuous
87.746,Prog_CycleTime,22.498,Counter
87.746,Spd_ActPos_Z,269.98,Continuous
88.049,WCL_Locked,False,Binary
88.242,WCL_Unlocked,True,Binary
88.546,Prog_LineNo,196,Categorical
88.546,Prog_Name_LineNo,LOAD_RT_TEST_SPF|196,Categorical
88.546,Spd_ActPos_Z,495.0,Continuous
88.546,Spd_ActSpeed_Z,0.0,Continuous
88.642,WCL_toWorkPos,False,Binary
88.746,Prog_CycleTime,23.498,Counter
88.751,WCL_InitPos,True,Binary
88.751,WCL_toInitPos,True,Binary
88.783,WCL_WorkPos,False,Binary
89.099,MPC_close,False,Binary
89.147,Prog_LineNo,222,Categorical
89.147,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
89.273,MPC_open,True,Binary
89.339,MPC_Closed,False,Binary
89.447,Spd_ActSpeed_X,-36000.0,Continuous
89.656,MPC_isOpen,True,Binary
89.748,Prog_CycleTime,24.498,Counter
89.748,Spd_ActPos_X,292.924,Continuous
89.832,CBC_open,False,Binary
89.832,MPA_toWorkPos,True,Binary
89.86,MPA_toInitPos,False,Binary
89.86,Spd_ActSpeed_C,-36000.0,Continuous
89.878,CBC_close,True,Binary
89.939,MPA_InitPos,False,Binary
90.114,CBC_isOpen,False,Binary
90.148,Spd_ActPos_X,150.0,Continuous
90.248,Spd_ActSpeed_X,0.0,Continuous
90.548,Prog_Name,TOOL_CALL_SPF,Categorical
