time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,ExU_On,False,Binary
0.0,ExU_isOff,True,Binary
0.0,HP_Pump_isOff,True,Binary
0.0,LP_Pump_On,False,Binary
0.0,MPA_A_701124,False,Alarm
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_Lifebit,False,Binary
0.0,M_PowerOnDuration,50.0,Counter
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_A_701330,False,Alarm
0.0,Prog_CuttingTime,135146.75,Counter
0.0,Prog_CycleTime,0.084,Counter
0.0,Prog_LineNo,0,Categorical
0.0,Prog_Name,MAIN_CH1_MPF,Categorical
0.0,Prog_Name_LineNo,MAIN_CH1_MPF|0,Categorical
0.0,SL_Green,False,Binary
0.0,SL_Red,False,Binary
0.0,SRL_lock,True,Binary
0.0,SRL_unlock,False,Binary
0.0,SR_A_67040,False,Alarm
0.0,Spd_ActPos_C,323.289,Continuous
0.0,Spd_ActPos_X,300.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,0.0,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,False,Binary
0.0,Spd_OuterCoolOn,False,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002349_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
13.939,M_Lifebit,True,Binary
15.467,M_Lifebit,False,Binary
33.197,Prog_CycleTime,0.086,Counter
34.243,Prog_Name,HOME_CH1_SPF,Categorical
34.243,Prog_Name_LineNo,HOME_CH1_SPF|0,Categorical
34.277,SL_Green,True,Binary
34.343,Prog_LineNo,125,Categorical
34.343,Prog_Name_LineNo,HOME_CH1_SPF|125,Categorical
34.543,Prog_CycleTime,0.458,Counter
34.634,SR_A_67040,True,Alarm
34.882,SR_A_67040,False,Alarm
35.269,Prog_A_701330,True,Alarm
35.433,Prog_A_701330,False,Alarm
35.548,Prog_CycleTime,1.462,Counter
35.548,Prog_LineNo,33,Categorical
35.548,Prog_Name,READ_DATA_SPF,Categorical
35.548,Prog_Name_LineNo,READ_DATA_SPF|33,Categorical
36.149,Prog_Name,ASSIGN_SPF,Categorical
36.149,Prog_Name_LineNo,ASSIGN_SPF|33,Categorical
36.549,Prog_CycleTime,2.462,Counter
36.549,Prog_LineNo,200,Categorical
36.549,Prog_Name_LineNo,ASSIGN_SPF|200,Categorical
36.915,CBC_open,True,Binary
36.991,CBC_Closed,False,Binary
37.026,CBC_close,False,Binary
37.049,Prog_LineNo,106,Categorical
37.049,Prog_Name,LOAD_RT_TEST_SPF,Categorical
37.049,Prog_Name_LineNo,LOAD_RT_TEST_SPF|106,Categorical
37.549,Prog_CycleTime,3.462,Counter
37.849,Prog_LineNo,109,Categorical
37.849,Prog_Name_LineNo,LOAD_RT_TEST_SPF|109,Categorical
37.946,CBC_isOpen,True,Binary
38.55,Prog_CycleTime,4.462,Counter
39.551,Prog_CycleTime,5.462,Counter
40.197,WCL_toWorkPos,True,Binary
40.335,WCL_toInitPos,False,Binary
40.369,WCL_InitPos,False,Binary
40.369,WCL_WorkPos,True,Binary
40.551,Prog_CycleTime,6.462,Counter
40.551,Prog_LineNo,111,Categorical
40.551,Prog_Name_LineNo,LOAD_RT_TEST_SPF|111,Categorical
40.684,WCL_Unlocked,False,Binary
40.826,WCL_Locked,True,Binary
40.95,M_Lifebit,True,Binary
40.952,Prog_LineNo,159,Categorical
40.952,Prog_Name_LineNo,LOAD_RT_TEST_SPF|159,Categorical
41.052,Spd_ActPos_C,31.14,Continuous
41.552,Prog_CycleTime,7.462,Counter
41.552,Spd_ActPos_X,592.99,Continuous
41.552,Spd_ActSpeed_X,16824.8,Continuous
41.753,Spd_ActPos_X,612.124,Continuous
41.753,Spd_ActSpeed_X,0.0,Continuous
42.153,Prog_LineNo,173,Categorical
42.153,Prog_Name_LineNo,LOAD_RT_TEST_SPF|173,Categorical
42.153,Spd_ActSpeed_Z,-2500.0,Continuous
42.365,M_Lifebit,False,Binary
42.558,Prog_CycleTime,8.462,Counter
42.558,Spd_ActPos_Z,405.218,Continuous
43.554,Prog_CycleTime,9.462,Counter
43.554,Spd_ActPos_Z,363.551,Continuous
44.357,ExU_On,True,Binary
44.445,ExU_isOff,False,Binary
44.554,Prog_CycleTime,10.462,Counter
44.554,Spd_ActPos_Z,321.885,Continuous
45.555,Prog_CycleTime,11.462,Counter
45.555,Spd_ActPos_Z,280.218,Continuous
46.155,Prog_LineNo,178,Categorical
46.155,Prog_Name_LineNo,LOAD_RT_TEST_SPF|178,Categorical
46.155,Spd_ActSpeed_Z,-800.0,Continuous
46.556,Prog_CycleTime,12.462,Counter
46.556,Spd_ActPos_Z,253.54,Continuous
46.756,M_PowerOnDuration,51.0,Counter
47.256,Spd_ActPos_Z,244.786,Continuous
47.256,Spd_ActSpeed_Z,0.0,Continuous
47.356,Prog_LineNo,183,Categorical
47.356,Prog_Name_LineNo,LOAD_RT_TEST_SPF|183,Categorical
47.656,Prog_CycleTime,13.562,Counter
48.557,Prog_LineNo,185,Categorical
48.557,Prog_Name_LineNo,LOAD_RT_TEST_SPF|185,Categorical
48.657,Prog_CycleTime,14.562,Counter
49.558,Prog_LineNo,186,Categorical
49.558,Prog_Name_LineNo,LOAD_RT_TEST_SPF|186,Categorical
49.658,Prog_CycleTime,15.562,Counter
49.758,Prog_LineNo,187,Categorical
49.758,Prog_Name_LineNo,LOAD_RT_TEST_SPF|187,Categorical
50.558,Prog_CycleTime,16.462,Counter
51.559,Prog_CycleTime,17.462,Counter
51.559,Prog_LineNo,192,Categorical
51.559,Prog_Name_LineNo,LOAD_RT_TEST_SPF|192,Categorical
51.559,Spd_ActPos_Z,298.029,Continuous
51.559,Spd_ActSpeed_Z,9300.0,Continuous
51.596,WCL_Unlocked,True,Binary
51.605,WCL_Locked,False,Binary
52.06,Spd_ActPos_Z,495.0,Continuous
52.06,Spd_ActSpeed_Z,0.0,Continuous
52.152,WCL_toInitPos,True,Binary
52.174,WCL_WorkPos,False,Binary
52.196,WCL_toWorkPos,False,Binary
52.422,WCL_InitPos,True,Binary
52.66,Prog_CycleTime,18.562,Counter
52.66,Prog_LineNo,222,Categorical
52.66,Prog_Name_LineNo,LOAD_RT_TEST_SPF|222,Categorical
52.696,MPC_Closed,False,Binary
52.696,MPC_close,False,Binary
52.858,MPC_open,True,Binary
53.143,MPA_toWorkPos,True,Binary
53.323,MPC_isOpen,True,Binary
53.342,CBC_close,True,Binary
53.342,CBC_open,False,Binary
53.342,MPA_toInitPos,False,Binary
53.367,MPA_InitPos,False,Binary
53.46,Spd_ActSpeed_C,-36000.0,Continuous
53.561,Spd_ActPos_C,252.876,Continuous
53.561,Spd_ActPos_X,164.483,Continuous
53.561,Spd_ActSpeed_X,-14664.8,Continuous
53.615,CBC_isOpen,False,Binary
53.661,Prog_CycleTime,19.562,Counter
53.761,Spd_ActPos_X,150.0,Continuous
53.761,Spd_ActSpeed_X,0.0,Continuous
54.261,T_ActToolIdent,3D_PROBE,Categorical
54.263,MPA_WorkPos,True,Binary
54.417,T_A_701309,True,Alarm
54.462,Prog_Name,RUN_MEAS_SPF,Categorical
54.462,Prog_Name_LineNo,RUN_MEAS_SPF|222,Categorical
54.503,CBC_Closed,True,Binary
54.503,MP_Inactive,False,Binary
54.561,Spd_ActPos_C,0.0,Continuous
54.561,Spd_ActSpeed_C,0.0,Continuous
54.661,Prog_CycleTime,20.562,Counter
54.661,Prog_LineNo,54,Categorical
54.661,Prog_Name_LineNo,RUN_MEAS_SPF|54,Categorical
55.562,Prog_LineNo,93,Categorical
55.562,Prog_Name_LineNo,RUN_MEAS_SPF|93,Categorical
55.562,Spd_ActPos_X,119.9,Continuous
55.662,Prog_CycleTime,21.562,Counter
55.662,Spd_ActPos_Z,484.338,Continuous
55.662,Spd_ActSpeed_Z,-5400.0,Continuous
56.262,Prog_LineNo,94,Categorical
56.262,Prog_Name_LineNo,RUN_MEAS_SPF|94,Categorical
56.262,Spd_ActSpeed_Z,-1000.0,Continuous
56.663,Prog_CuttingTime,135147.24,Counter
56.663,Prog_CycleTime,22.562,Counter
56.663,Spd_ActPos_Z,436.381,Continuous
57.463,Spd_ActPos_Z,423.365,Continuous
57.463,Spd_ActSpeed_Z,0.0,Continuous
57.664,Prog_CuttingTime,135148.11,Counter
57.664,Prog_CycleTime,23.562,Counter
57.664,Prog_LineNo,115,Categorical
57.664,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
57.664,Spd_ActPos_X,120.52,Continuous
57.664,Spd_ActSpeed_X,100.0,Continuous
58.664,Prog_CuttingTime,135149.11,Counter
58.664,Prog_CycleTime,24.562,Counter
58.664,Spd_ActPos_X,122.186,Continuous
59.365,Spd_ActPos_C,72.0,Continuous
59.665,Prog_CuttingTime,135150.02,Counter
59.665,Prog_CycleTime,25.562,Counter
59.665,Spd_ActPos_X,120.933,Continuous
60.666,Prog_CuttingTime,135150.968,Counter
60.666,Prog_CycleTime,26.562,Counter
60.666,Prog_LineNo,126,Categorical
60.666,Prog_Name_LineNo,RUN_MEAS_SPF|126,Categorical
60.666,Spd_ActPos_X,122.103,Continuous
60.666,Spd_ActSpeed_X,-500.0,Continuous
61.166,Prog_LineNo,115,Categorical
61.166,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
61.166,Spd_ActPos_C,144.0,Continuous
61.166,Spd_ActSpeed_X,100.0,Continuous
61.666,Prog_CuttingTime,135151.93,Counter
61.666,Prog_CycleTime,27.562,Counter
61.666,Spd_ActPos_X,121.35,Continuous
62.667,Prog_CuttingTime,135152.85,Counter
62.667,Prog_CycleTime,28.562,Counter
62.667,Prog_LineNo,114,Categorical
62.667,Prog_Name_LineNo,RUN_MEAS_SPF|114,Categorical
62.667,Spd_ActPos_C,144.006,Continuous
62.667,Spd_ActPos_X,120.4,Continuous
62.667,Spd_ActSpeed_C,64.8,Continuous
62.667,Spd_ActSpeed_X,0.0,Continuous
62.867,Prog_LineNo,115,Categorical
62.867,Prog_Name_LineNo,RUN_MEAS_SPF|115,Categorical
62.867,Spd_ActPos_C,216.0,Continuous
62.867,Spd_ActSpeed_C,0.0,Continuous
62.867,Spd_ActSpeed_X,100.0,Continuous
63.667,Prog_CuttingTime,135153.84,Counter
63.667,Prog_CycleTime,29.562,Counter
63.667,Spd_ActPos_X,121.763,Continuous
64.668,Prog_CuttingTime,135154.75,Counter
64.668,Prog_CycleTime,30.562,Counter
64.668,Spd_ActPos_C,288.0,Continuous
64.668,Spd_ActPos_X,120.513,Continuous
65.669,Prog_CuttingTime,135155.75,Counter
65.669,Prog_CycleTime,31.562,Counter
65.669,Spd_ActPos_X,122.18,Continuous
66.169,Prog_CuttingTime,135156.164,Counter
66.169,Spd_ActPos_X,120.4,Continuous
66.169,Spd_ActSpeed_X,0.0,Continuous
66.57,Spd_ActPos_Z,444.365,Continuous
66.669,Prog_CycleTime,32.562,Counter
66.669,Prog_LineNo,72,Categorical
66.669,Prog_Name,MAIN_CH1_MPF,Categorical
66.669,Prog_Name_LineNo,MAIN_CH1_MPF|72,Categorical
67.17,Prog_Name,PROBE_Z_SPF,Categorical
67.17,Prog_Name_LineNo,PROBE_Z_SPF|72,Categorical
67.47,Spd_ActPos_C,0.0,Continuous
67.47,Spd_ActPos_X,128.382,Continuous
67.57,Prog_LineNo,81,Categorical
67.57,Prog_Name_LineNo,PROBE_Z_SPF|81,Categorical
67.67,Prog_CuttingTime,135156.282,Counter
67.67,Prog_CycleTime,33.562,Counter
67.67,Spd_ActPos_Z,438.865,Continuous
67.77,Prog_LineNo,94,Categorical
67.77,Prog_Name_LineNo,PROBE_Z_SPF|94,Categorical
67.77,Spd_ActSpeed_Z,-100.0,Continuous
68.671,Prog_CuttingTime,135157.254,Counter
68.671,Prog_CycleTime,34.562,Counter
