source_id,target_id,source_label,target_label,edge_name,comment
1,52,CLF_A_700307,M_WarnWithStacklight,CLF_A_700307_to_WarnWithStacklight,Clogged coolant filter triggers a warning with stacklight.
2,1,CLF_Filter_Ok,CLF_A_700307,CLF_Filter_Monitoring,When Filter_OK=False for at least 5 seconds -> Alarm 700307 is triggered
4,3,F_Filter_Ok,F_A_700313,Fleece_Filter_Monitoring,When Fleece_Filter_Ok=False for at least 5 seconds --> Alarm 700313 is triggered
5,48,HP_A_700304,M_ErrorActive,HP_A_700304_to_ErrorActive,High pressure pump motor protection alarm triggers an error state.
7,5,HP_Pump_Ok,HP_A_700304,HP_Pump_Monitoring,When HP_Pump_Ok=False -> Alarm 700304 is triggered
7,6,HP_Pump_Ok,HP_Pump_isOff,HP_Pump_not_ok_to_off,"When HP_Pump_Ok=False, then HP_Pump_isOff=True, i.e. the pump is turned off to prevent damage."
9,8,LT_Level_Ok,LT_A_700317,LT_Level_Monitoring,When LT_Level_Ok=False -> Alarm 700317 is triggered
9,10,LT_Level_Ok,LT_Pump_Ok,LT_Level_Pump_Ok,"When LT_Level_Ok=False -> LT_Pump_Ok=False, i.e. the pump is turned off to prevent overflow."
11,48,LP_A_700301,M_ErrorActive,LP_A_700301_to_ErrorActive,Low pressure pump motor protection alarm triggers an error state.
12,11,LP_Pump_Ok,LP_A_700301,LP_Pump_Monitoring,When LP_Pump_Ok=False -> Alarm 700301 is triggered
12,13,LP_Pump_Ok,LP_Pump_On,LP_Pump_On_Condition,"Only if LP_Pump_Ok=True, then LP_Pump_On can be True."
13,6,LP_Pump_On,HP_Pump_isOff,LP_Pump_On_HP_Pump_Off,"When LP Pump is commanded to be on, then HP Pump is turned off."
14,48,CLT_A_700310,M_ErrorActive,CLT_A_700310_to_ErrorActive,Coolant tank level minimum alarm triggers an error state.
15,14,CLT_Level_lt_Min,CLT_A_700310,CLT_Level_Min_Monitoring,When Level_lt_Min=True -> Alarm 700310 is triggered
17,16,ExU_On,ExU_isOff,ExU_On_ExU_isOff,"When ExtractionUnit is commanded to be on (ExU_On=True), it results in the ExtractionUnit being on (ExU_isOff=False)."
18,21,Hyd_A_700202,Hyd_Valve_P_Up,Hyd_A_700202_Disables_Hyd_Valve_P_Up,"When hydraulic pressure out of norm alarm 700202 is triggered (Hyd_A_700202=True), the pressure accumulation valve is closed in fear of leakage (Hyd_Valve_P_Up=False)."
18,30,Hyd_A_700202,Hyd_Pump_On,Hyd_A_700202_Disables_Hyd_Pump_On,"When pressure out of norm alarm 700202 is triggered (Hyd_A_700202=True), the hydraulic pump is turned off (Hyd_Pump_On=False)."
18,48,Hyd_A_700202,M_ErrorActive,Hyd_A_700202_to_ErrorActive,Hydraulic pressure out of norm alarm triggers an error state.
20,18,Hyd_Pressure,Hyd_A_700202,Hyd_Pressure_Monitoring,When hydraulic pressure is out of normal range for at least 5 seconds -> Alarm 700202 is triggered
20,21,Hyd_Pressure,Hyd_Valve_P_Up,Hyd_Pressure_Control,"When hydraulic pressure falls below threshold, valve is commanded to open (Hyd_Valve_P_Up=True)"
22,19,Hyd_A_700207,Hyd_IsEnabled,Hyd_A_700207_Disables_Hyd_IsEnabled,"When hydraulic filter is clogged alarm 700207 is triggered (Hyd_A_700207=True), hydraulics is disabled (Hyd_IsEnabled=False)."
22,48,Hyd_A_700207,M_ErrorActive,Hyd_A_700207_to_ErrorActive,Clogged hydraulic filter alarm triggers an error state.
23,22,Hyd_Filter_Ok,Hyd_A_700207,Hyd_Filter_Monitoring,When Hyd_Filter_Ok=False for at least 5 seconds -> Alarm 700207 is triggered
23,29,Hyd_Filter_Ok,Hyd_Pump_Ok,Hyd_Filter_Clogged_Pump_Failure,"When Hyd_Filter_Ok=False for some time, the probability of Hyd_Pump_OK=False rises (pump might fail)"
24,51,Hyd_A_700205,M_WarnActive,Hyd_A_700205_to_WarnActive,Hydraulic oil level near minimum warning triggers a general warning state.
25,30,Hyd_A_700206,Hyd_Pump_On,Hyd_A_700206_Disables_Hyd_Pump_On,"When hydraulic level is below minimum alarm 700206 is triggered (Hyd_A_700206=True), the hydraulic pump is turned off (Hyd_Pump_On=False)."
25,48,Hyd_A_700206,M_ErrorActive,Hyd_A_700206_to_ErrorActive,Hydraulic oil level below minimum alarm triggers an error state.
26,24,Hyd_Level_Ok,Hyd_A_700205,Hyd_Level_Warning_Monitoring,When Hyd_Level_Ok=False -> Warning 700205 is immediately triggered
26,25,Hyd_Level_Ok,Hyd_A_700206,Hyd_Level_Alarm_Monitoring,When Hyd_Level_Ok=False for at least 800ms  -> Alarm 700206 is triggered
