id,path,label,type,io,datatype,examples,comment
1,Lathe/Coolant/Filter,CLF_A_700307,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that coolant filter is clogged
2,Lathe/Coolant/Filter,CLF_Filter_Ok,Variable,input,bool,"True, False",True = coolant filter for fine particles is in Ok state
3,Lathe/Coolant/Fleece,F_A_700313,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that fleece supply in coolant is empty and needs replacement
4,Lathe/Coolant/Fleece,F_Filter_Ok,Variable,input,bool,"True, False",True = coolant fleece filter is Ok (not empty). False = Empty -> Fault
5,Lathe/Coolant/HighPressurePump,HP_A_700304,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that coolant high pressure (HP) pump motor protection switch triggered
6,Lathe/Coolant/HighPressurePump,HP_Pump_isOff,Variable,input,bool,"True, False",True = high pressure pump for coolant is turned off
7,Lathe/Coolant/HighPressurePump,HP_Pump_Ok,Variable,input,bool,"True, False",True = high pressure pump for coolant is Ok
8,Lathe/Coolant/LiftingTank,LT_A_700317,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm for overflow at lifting tank of coolant
9,Lathe/Coolant/LiftingTank,LT_Level_Ok,Variable,input,bool,"True, False",True = lifting tank level supervision is ok -> No overlow. False = overlflow
10,Lathe/Coolant/LiftingTank,LT_Pump_Ok,Variable,input,bool,"True, False",True = lifting tank pump supervision gives positive feedback
11,Lathe/Coolant/LowPressurePump,LP_A_700301,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that coolant low pressure (LP) pump motor protection switch triggered
12,Lathe/Coolant/LowPressurePump,LP_Pump_Ok,Variable,input,bool,"True, False",True = low pressure pump for coolant is Ok
13,Lathe/Coolant/LowPressurePump,LP_Pump_On,Variable,output,bool,"True, False",True = low pressure pump for coolant  is commanded to be on
14,Lathe/Coolant/Tank,CLT_A_700310,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that coolant tank fill level is below minimum
15,Lathe/Coolant/Tank,CLT_Level_lt_Min,Variable,input,bool,"True, False",True = coolant level is below minimum -> Error
16,Lathe/ExtractionUnit,ExU_isOff,Variable,input,bool,"False, True",True = extraction unit is off (measured)
17,Lathe/ExtractionUnit,ExU_On,Variable,output,bool,"True, False",True = extraction unit is commanded to turn on
18,Lathe/Hydraulics,Hyd_A_700202,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that pressure monitoring of hydraulics registered hydraulic pressure out of norm
19,Lathe/Hydraulics,Hyd_IsEnabled,Variable,output,bool,"True, False",True = indicates that hydraulics is enabled
20,Lathe/Hydraulics,Hyd_Pressure,Variable,input,int,"10274, 7381",hydraulic pressure analog ACTUAL value
21,Lathe/Hydraulics,Hyd_Valve_P_Up,Variable,output,bool,"True, False",True = accumulator charge valve commanded to open (until target pressure is reached again)
22,Lathe/Hydraulics/Hyd_Filter,Hyd_A_700207,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that hydraulic filter for returning oil is clogged
23,Lathe/Hydraulics/Hyd_Filter,Hyd_Filter_Ok,Variable,input,bool,"True, False",True = hydraulic filter is Ok
24,Lathe/Hydraulics/Hyd_Level,Hyd_A_700205,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",warning that hydraulic oil level is close to minimum
25,Lathe/Hydraulics/Hyd_Level,Hyd_A_700206,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that hydraulic oil level is below minimum
26,Lathe/Hydraulics/Hyd_Level,Hyd_Level_Ok,Variable,input,bool,"True, False",True = hydraulic level is Ok
27,Lathe/Hydraulics/Hyd_Pump,Hyd_A_700208,Alarm,,bool,"True (=alarm active), False(=alarm inactive)",alarm that hydraulic pump motor protection switch triggered
28,Lathe/Hydraulics/Hyd_Pump,Hyd_Pump_isOff,Variable,input,bool,"True, False",True = hydraulic pump is off
