time_s,node,value,type
0.0,CBC_Closed,True,Binary
0.0,CBC_close,True,Binary
0.0,CBC_isOpen,False,Binary
0.0,CBC_open,False,Binary
0.0,CLF_Filter_Ok,True,Binary
0.0,CLT_Level_lt_Min,False,Binary
0.0,ExU_On,True,Binary
0.0,ExU_isOff,False,Binary
0.0,F_Filter_Ok,True,Binary
0.0,HP_Pump_Ok,True,Binary
0.0,HP_Pump_isOff,False,Binary
0.0,Hyd_Filter_Ok,True,Binary
0.0,Hyd_IsEnabled,True,Binary
0.0,Hyd_Level_Ok,True,Binary
0.0,Hyd_Pump_Ok,True,Binary
0.0,Hyd_Pump_On,True,Binary
0.0,Hyd_Pump_isOff,False,Binary
0.0,Hyd_Temp_lt_70,True,Binary
0.0,Hyd_Temp_lt_80,True,Binary
0.0,Hyd_Valve_P_Up,False,Binary
0.0,LP_Pump_Ok,True,Binary
0.0,LP_Pump_On,True,Binary
0.0,LT_Level_Ok,True,Binary
0.0,LT_Pump_Ok,True,Binary
0.0,Lubr_On,False,Binary
0.0,Lubr_P_Ok,False,Binary
0.0,MPA_InitPos,True,Binary
0.0,MPA_WorkPos,False,Binary
0.0,MPA_toInitPos,True,Binary
0.0,MPA_toWorkPos,False,Binary
0.0,MPC_Closed,True,Binary
0.0,MPC_close,True,Binary
0.0,MPC_isOpen,False,Binary
0.0,MPC_open,False,Binary
0.0,MP_Inactive,True,Binary
0.0,M_ErrorActive,False,Binary
0.0,M_Lifebit,True,Binary
0.0,M_PowerOnDuration,5984.0,Counter
0.0,M_WarnActive,True,Binary
0.0,M_WarnWithStacklight,False,Binary
0.0,Prog_CuttingTime,7844899.862,Counter
0.0,Prog_CycleTime,2514.612,Counter
0.0,Prog_LineNo,-2,Categorical
0.0,Prog_Name,CHUCK_FLUSH_SPF,Categorical
0.0,Prog_Name_LineNo,CHUCK_FLUSH_SPF|-2,Categorical
0.0,SL_Green,True,Binary
0.0,SL_Red,False,Binary
0.0,SL_Yellow,True,Binary
0.0,SRL_Locked,False,Binary
0.0,SRL_Unlocked,True,Binary
0.0,SRL_lock,False,Binary
0.0,SRL_unlock,True,Binary
0.0,SR_loosen,True,Binary
0.0,SR_tighten,False,Binary
0.0,Spd_ActPos_C,359.687,Continuous
0.0,Spd_ActPos_X,150.0,Continuous
0.0,Spd_ActPos_Z,495.0,Continuous
0.0,Spd_ActSpeed_C,-43123.535,Continuous
0.0,Spd_ActSpeed_X,0.0,Continuous
0.0,Spd_ActSpeed_Z,0.0,Continuous
0.0,Spd_InnerCoolOn,True,Binary
0.0,Spd_OuterCoolOn,True,Binary
0.0,TL_Locked,True,Binary
0.0,TL_lock,True,Binary
0.0,TL_unlock,False,Binary
0.0,T_A_701309,False,Alarm
0.0,T_ActToolIdent,002403_A,Categorical
0.0,WCL_InitPos,True,Binary
0.0,WCL_Locked,False,Binary
0.0,WCL_Unlocked,True,Binary
0.0,WCL_WorkPos,False,Binary
0.0,WCL_toInitPos,True,Binary
0.0,WCL_toWorkPos,False,Binary
0.0,WC_inPos,True,Binary
0.003,SL_Yellow,False,Binary
0.089,Prog_CycleTime,2515.612,Counter
0.089,Spd_ActPos_C,16.085,Continuous
0.089,Spd_ActSpeed_C,0.0,Continuous
0.313,TL_lock,False,Binary
0.989,Prog_LineNo,22,Categorical
0.989,Prog_Name_LineNo,CHUCK_FLUSH_SPF|22,Categorical
1.089,Prog_CycleTime,2516.612,Counter
1.089,Spd_ActPos_C,2.766,Continuous
1.089,Spd_ActSpeed_C,43229.004,Continuous
1.79,Prog_LineNo,-2,Categorical
1.79,Prog_Name_LineNo,CHUCK_FLUSH_SPF|-2,Categorical
2.061,TL_unlock,True,Binary
2.089,Prog_CycleTime,2517.612,Counter
2.089,Spd_ActPos_C,2.77,Continuous
2.089,Spd_ActSpeed_C,43224.609,Continuous
2.135,SL_Yellow,True,Binary
2.327,TL_Locked,False,Binary
2.878,TL_unlock,False,Binary
2.89,Prog_LineNo,24,Categorical
2.89,Prog_Name_LineNo,CHUCK_FLUSH_SPF|24,Categorical
2.921,SL_Yellow,False,Binary
3.024,TL_lock,True,Binary
3.09,Prog_CycleTime,2518.612,Counter
3.09,Spd_ActPos_C,2.773,Continuous
3.09,Spd_ActSpeed_C,43220.215,Continuous
3.69,Prog_LineNo,-2,Categorical
3.69,Prog_Name_LineNo,CHUCK_FLUSH_SPF|-2,Categorical
3.79,TL_unlock,True,Binary
3.928,TL_lock,False,Binary
4.004,Hyd_Valve_P_Up,True,Binary
4.09,Prog_CycleTime,2519.612,Counter
4.09,Spd_ActPos_C,2.776,Continuous
4.09,Spd_ActSpeed_C,43211.426,Continuous
4.59,Prog_LineNo,26,Categorical
4.59,Prog_Name_LineNo,CHUCK_FLUSH_SPF|26,Categorical
4.704,TL_Locked,True,Binary
4.704,TL_unlock,False,Binary
4.826,TL_lock,True,Binary
5.09,Prog_CycleTime,2520.612,Counter
5.09,Spd_ActPos_C,2.78,Continuous
5.09,Spd_ActSpeed_C,43215.82,Continuous
5.142,SL_Yellow,True,Binary
5.39,Prog_LineNo,27,Categorical
5.39,Prog_Name_LineNo,CHUCK_FLUSH_SPF|27,Categorical
5.49,Spd_ActSpeed_C,0.0,Continuous
5.5,Hyd_Valve_P_Up,False,Binary
5.886,SL_Yellow,False,Binary
6.09,Prog_CycleTime,2521.612,Counter
6.09,Spd_ActPos_C,205.222,Continuous
6.648,Spd_OuterCoolOn,False,Binary
6.704,Spd_InnerCoolOn,False,Binary
6.879,Prog_Name,WRITE_LOG_ARRAY_SPF,Categorical
6.879,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|27,Categorical
7.133,Prog_CycleTime,2522.654,Counter
7.133,Prog_LineNo,46,Categorical
7.133,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|46,Categorical
7.133,Spd_ActPos_C,163.384,Continuous
7.14,SL_Yellow,True,Binary
7.341,Prog_LineNo,51,Categorical
7.341,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|51,Categorical
7.692,LP_Pump_On,False,Binary
8.107,Prog_CycleTime,2523.63,Counter
8.677,Spd_ActPos_C,163.385,Continuous
8.995,SL_Yellow,False,Binary
9.149,Prog_CycleTime,2524.67,Counter
10.177,Prog_CycleTime,2525.698,Counter
10.177,Prog_LineNo,57,Categorical
10.177,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|57,Categorical
10.177,Spd_ActPos_C,163.384,Continuous
10.915,Prog_LineNo,63,Categorical
10.915,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|63,Categorical
11.115,Prog_CycleTime,2526.636,Counter
11.129,SL_Yellow,True,Binary
12.079,Prog_CycleTime,2527.6,Counter
12.959,SL_Yellow,False,Binary
13.118,Prog_CycleTime,2528.638,Counter
13.99,Prog_LineNo,131,Categorical
13.99,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|131,Categorical
14.09,Prog_CycleTime,2529.61,Counter
14.116,SL_Yellow,True,Binary
15.008,SL_Yellow,False,Binary
15.09,Prog_CycleTime,2530.61,Counter
15.69,M_PowerOnDuration,5985.0,Counter
15.69,Prog_LineNo,155,Categorical
15.69,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|155,Categorical
15.79,Spd_ActPos_C,163.385,Continuous
16.09,Prog_CycleTime,2531.61,Counter
17.065,SL_Yellow,True,Binary
17.093,Prog_CycleTime,2532.612,Counter
17.093,Prog_LineNo,265,Categorical
17.093,Prog_Name_LineNo,WRITE_LOG_ARRAY_SPF|265,Categorical
17.093,Spd_ActPos_C,163.384,Continuous
17.825,Prog_Name,TOOL_LIFETIME_SPF,Categorical
17.825,Prog_Name_LineNo,TOOL_LIFETIME_SPF|265,Categorical
17.951,SL_Yellow,False,Binary
18.025,Prog_LineNo,113,Categorical
18.025,Prog_Name_LineNo,TOOL_LIFETIME_SPF|113,Categorical
18.125,Prog_CycleTime,2533.644,Counter
18.725,Prog_LineNo,40,Categorical
18.725,Prog_Name,READ_DATA_SPF,Categorical
18.725,Prog_Name_LineNo,READ_DATA_SPF|40,Categorical
19.026,Spd_ActPos_C,163.385,Continuous
19.125,Prog_CycleTime,2534.644,Counter
20.025,Spd_ActPos_C,163.384,Continuous
20.125,Prog_CycleTime,2535.644,Counter
21.096,SL_Yellow,True,Binary
21.125,Prog_CycleTime,2536.644,Counter
21.261,HP_Pump_isOff,True,Binary
21.928,SL_Yellow,False,Binary
22.126,Prog_CycleTime,2537.644,Counter
23.126,Prog_CycleTime,2538.644,Counter
23.294,Hyd_Valve_P_Up,True,Binary
24.126,Prog_CycleTime,2539.644,Counter
24.134,SL_Yellow,True,Binary
24.534,Hyd_Valve_P_Up,False,Binary
24.994,SL_Yellow,False,Binary
25.126,Prog_CycleTime,2540.644,Counter
26.126,Prog_CycleTime,2541.644,Counter
27.127,Prog_CycleTime,2542.644,Counter
27.127,Spd_ActPos_C,163.385,Continuous
27.927,Spd_ActPos_C,163.384,Continuous
28.127,Prog_CycleTime,2543.644,Counter
29.127,Prog_CycleTime,2544.644,Counter
29.127,Spd_ActPos_C,163.385,Continuous
30.127,Prog_CycleTime,2545.644,Counter
31.075,SL_Yellow,True,Binary
31.127,Prog_CycleTime,2546.644,Counter
31.926,SL_Yellow,False,Binary
32.128,Prog_CycleTime,2547.644,Counter
33.128,Prog_CycleTime,2548.644,Counter
34.128,Prog_CycleTime,2549.644,Counter
35.127,SL_Yellow,True,Binary
35.129,Prog_CycleTime,2550.644,Counter
36.029,Spd_ActPos_C,163.384,Continuous
36.129,Prog_CycleTime,2551.644,Counter
36.891,SL_Yellow,False,Binary
37.129,Prog_CycleTime,2552.644,Counter
37.129,Spd_ActPos_C,163.385,Continuous
38.129,Prog_CycleTime,2553.644,Counter
38.132,SL_Yellow,True,Binary
38.989,SL_Yellow,False,Binary
39.129,Prog_CycleTime,2554.644,Counter
40.129,Prog_CycleTime,2555.644,Counter
41.13,Prog_CycleTime,2556.644,Counter
41.13,Spd_ActPos_C,163.384,Continuous
42.13,Prog_CycleTime,2557.644,Counter
43.13,Prog_CycleTime,2558.644,Counter
44.13,Prog_CycleTime,2559.644,Counter
45.131,Prog_CycleTime,2560.644,Counter
45.253,Hyd_Valve_P_Up,True,Binary
46.131,Prog_CycleTime,2561.644,Counter
46.149,SL_Yellow,True,Binary
46.461,Hyd_Valve_P_Up,False,Binary
47.011,SL_Yellow,False,Binary
47.131,Prog_CycleTime,2562.644,Counter
48.131,Prog_CycleTime,2563.644,Counter
49.112,SL_Yellow,True,Binary
49.131,Prog_CycleTime,2564.644,Counter
50.132,Prog_CycleTime,2565.644,Counter
51.132,Prog_CycleTime,2566.644,Counter
51.92,SL_Yellow,False,Binary
52.132,Prog_CycleTime,2567.644,Counter
53.132,Prog_CycleTime,2568.644,Counter
53.157,SL_Yellow,True,Binary
53.995,SL_Yellow,False,Binary
54.132,Prog_CycleTime,2569.644,Counter
55.133,Prog_CycleTime,2570.644,Counter
56.119,SL_Yellow,True,Binary
56.133,Prog_CycleTime,2571.644,Counter
56.833,Prog_Name,REV_LOAD_MASTER_SPF,Categorical
56.833,Prog_Name_LineNo,REV_LOAD_MASTER_SPF|40,Categorical
57.133,Prog_CycleTime,2572.644,Counter
57.133,Prog_LineNo,23,Categorical
57.133,Prog_Name_LineNo,REV_LOAD_MASTER_SPF|23,Categorical
57.934,Prog_LineNo,58,Categorical
57.934,Prog_Name_LineNo,REV_LOAD_MASTER_SPF|58,Categorical
58.133,Prog_CycleTime,2573.644,Counter
59.134,Prog_CycleTime,2574.644,Counter
59.886,SL_Yellow,False,Binary
60.134,Prog_CycleTime,2575.644,Counter
61.126,SL_Yellow,True,Binary
61.134,Prog_CycleTime,2576.644,Counter
61.134,Spd_ActPos_C,163.385,Continuous
61.734,Spd_ActPos_C,163.384,Continuous
62.134,Prog_CycleTime,2577.644,Counter
62.995,SL_Yellow,False,Binary
63.135,Prog_CycleTime,2578.644,Counter
64.129,SL_Yellow,True,Binary
64.135,Prog_CycleTime,2579.644,Counter
65.135,Prog_CycleTime,2580.644,Counter
65.927,SL_Yellow,False,Binary
66.135,Prog_CycleTime,2581.644,Counter
67.135,Prog_CycleTime,2582.644,Counter
67.292,Hyd_Valve_P_Up,True,Binary
68.056,SL_Yellow,True,Binary
68.135,Prog_CycleTime,2583.644,Counter
68.626,Hyd_Valve_P_Up,False,Binary
68.945,SL_Yellow,False,Binary
69.136,Prog_CycleTime,2584.644,Counter
70.136,Prog_CycleTime,2585.644,Counter
70.162,SL_Yellow,True,Binary
71.016,SL_Yellow,False,Binary
